,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
61908,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,1,Blue,top,Doxy,Riddle Esports,Gnar,Heimerdinger,Lux,Ziggs,Shyvana,Shen,1805,1,2,2,10,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4321,0.7645,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17589,584.6759,0.30750500000000003,16,0.5319,5,0.1662,8,36.0,1.1967,13139,9181,305.1856,0.25548000000000004,11500.0,,228.0,215.0,13,5,6,7.5789,4083.0,4169.0,74.0,3113.0,4188.0,64.0,970.0,-19.0,10.0,7019.0,6790.0,123.0,4818.0,7281.0,117.0,2201.0,-491.0,6.0
61909,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,2,Blue,jng,Maxi,Riddle Esports,Volibear,Heimerdinger,Lux,Ziggs,Shyvana,Shen,1805,1,1,1,5,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4321,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5668,188.41,0.0990926,9,0.2992,11,0.3657,10,37.0,1.2299,9598,5640,187.4792,0.156947,8600.0,,175.0,18.0,157,114,5,5.8172,3148.0,3436.0,68.0,2891.0,2804.0,52.0,257.0,632.0,16.0,4521.0,5017.0,100.0,4361.0,4628.0,88.0,160.0,389.0,12.0
61910,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,3,Blue,mid,Sencux,Riddle Esports,Azir,Heimerdinger,Lux,Ziggs,Shyvana,Shen,1805,1,3,0,5,13,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4321,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14353,477.108,0.250931,12,0.3989,7,0.2327,3,30.0,0.9972,12468,8510,282.8809,0.23680900000000002,11840.0,,285.0,253.0,32,28,0,9.4737,3338.0,5116.0,94.0,3424.0,5053.0,93.0,-86.0,63.0,1.0,5419.0,8000.0,151.0,5429.0,7937.0,146.0,-10.0,63.0,5.0
61911,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,4,Blue,bot,reje,Riddle Esports,Ezreal,Heimerdinger,Lux,Ziggs,Shyvana,Shen,1805,1,5,3,6,13,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4321,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13958,463.9778,0.244025,10,0.3324,6,0.1994,2,30.0,0.9972,12939,8981,298.5374,0.249915,11775.0,,264.0,244.0,20,4,4,8.7756,3286.0,3057.0,78.0,3961.0,3063.0,87.0,-675.0,-6.0,-9.0,5121.0,5409.0,129.0,6322.0,5495.0,151.0,-1201.0,-86.0,-22.0
61912,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,5,Blue,sup,Wendelbo,Riddle Esports,Karma,Heimerdinger,Lux,Ziggs,Shyvana,Shen,1805,1,2,4,10,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4321,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5631,187.1801,0.09844580000000001,39,1.2964,12,0.3989,10,86.0,2.8587,7582,3624,120.4654,0.100849,5750.0,,36.0,36.0,0,0,0,1.1967,2382.0,2479.0,12.0,2512.0,3227.0,18.0,-130.0,-748.0,-6.0,3534.0,3603.0,24.0,3744.0,4450.0,23.0,-210.0,-847.0,1.0
61913,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,6,Red,top,Phones,Team GamerLegion,Wukong,Nidalee,Orianna,Twisted Fate,Renekton,Gangplank,1805,0,2,1,3,10,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10032,333.4737,0.190169,10,0.3324,3,0.0997,2,17.0,0.5651,10009,6051,201.1413,0.191955,8858.0,,211.0,207.0,4,4,0,7.0139,3113.0,4188.0,64.0,4083.0,4169.0,74.0,-970.0,19.0,-10.0,4818.0,7281.0,117.0,7019.0,6790.0,123.0,-2201.0,491.0,-6.0
61914,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,7,Red,jng,Rabble,Team GamerLegion,Sett,Nidalee,Orianna,Twisted Fate,Renekton,Gangplank,1805,0,2,4,6,10,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10577,351.59,0.2005,14,0.4654,12,0.3989,13,42.0,1.3961,9048,5090,169.1967,0.161471,8275.0,,162.0,23.0,139,98,8,5.385,2891.0,2804.0,52.0,3148.0,3436.0,68.0,-257.0,-632.0,-16.0,4361.0,4628.0,88.0,4521.0,5017.0,100.0,-160.0,-389.0,-12.0
61915,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,8,Red,mid,Nite,Team GamerLegion,Corki,Nidalee,Orianna,Twisted Fate,Renekton,Gangplank,1805,0,2,2,3,10,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15766,524.0776,0.298865,15,0.4986,6,0.1994,5,40.0,1.3296,12907,8949,297.4737,0.283885,13363.0,,292.0,270.0,22,18,0,9.7064,3424.0,5053.0,93.0,3338.0,5116.0,94.0,86.0,-63.0,-1.0,5429.0,7937.0,146.0,5419.0,8000.0,151.0,10.0,-63.0,-5.0
61916,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,9,Red,bot,Hjarnan,Team GamerLegion,Caitlyn,Nidalee,Orianna,Twisted Fate,Renekton,Gangplank,1805,0,3,4,4,10,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3324,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11572,384.6648,0.219362,7,0.2327,6,0.1994,4,18.0,0.5983,12257,8299,275.867,0.263266,12610.0,,273.0,245.0,28,23,0,9.0748,3961.0,3063.0,87.0,3286.0,3057.0,78.0,675.0,6.0,9.0,6322.0,5495.0,151.0,5121.0,5409.0,129.0,1201.0,86.0,22.0
61917,ESPORTSTMNT06/1310187,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310187?gameHash=e1b211600e2a77e6,EM,2020,Summer,0,2020-08-17 18:32:14,1,10.16,10,Red,sup,Visdom,Team GamerLegion,Thresh,Nidalee,Orianna,Twisted Fate,Renekton,Gangplank,1805,0,1,2,8,10,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3324,0.7645,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4806,159.7562,0.0911038,62,2.0609,7,0.2327,16,79.0,2.626,7092,3134,104.1773,0.0994227,7050.0,,31.0,31.0,0,0,0,1.0305,2512.0,3227.0,18.0,2382.0,2479.0,12.0,130.0,748.0,6.0,3744.0,4450.0,23.0,3534.0,3603.0,24.0,210.0,847.0,-1.0
