,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
192,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,1,Blue,top,Xiaobai,eStar,Mordekaiser,Elise,Qiyana,Pantheon,Renekton,Nocturne,2108,1,8,2,6,25,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,13442,382.5996,0.18556,15,0.4269,5,0.1423,5,31.0,0.8824,13997,9421,268.1499,0.23203800000000002,12125.0,,222.0,193.0,29,6,8,6.3188,3021.0,4480.0,72.0,3472.0,4828.0,91.0,-451.0,-348.0,-19.0,4363.0,6305.0,102.0,5681.0,7294.0,138.0,-1318.0,-989.0,-36.0
193,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,2,Blue,jng,Wei,eStar,Olaf,Elise,Qiyana,Pantheon,Renekton,Nocturne,2108,1,3,6,7,25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7116,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,10674,303.814,0.14735,11,0.3131,32,0.9108,13,69.0,1.9639,10370,5794,164.9146,0.142706,13825.0,,159.0,37.0,122,61,14,4.5256,3145.0,3484.0,61.0,2995.0,2808.0,60.0,150.0,676.0,1.0,4407.0,4889.0,86.0,4307.0,4581.0,87.0,100.0,308.0,-1.0
194,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,3,Blue,mid,Cryin,eStar,Taliyah,Elise,Qiyana,Pantheon,Renekton,Nocturne,2108,1,7,1,15,25,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,18707,532.4573,0.258241,15,0.4269,7,0.1992,5,41.0,1.167,14649,10073,286.7078,0.24809699999999998,12525.0,,245.0,213.0,32,24,4,6.9734,3565.0,4273.0,87.0,3959.0,4882.0,86.0,-394.0,-609.0,1.0,5143.0,6061.0,127.0,5541.0,6628.0,118.0,-398.0,-567.0,9.0
195,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,4,Blue,bot,Wink,eStar,Aphelios,Elise,Qiyana,Pantheon,Renekton,Nocturne,2108,1,5,2,11,25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,24882,708.2163,0.343484,15,0.4269,24,0.6831,8,75.0,2.1347,15824,11248,320.1518,0.277037,14480.0,,345.0,283.0,62,47,8,9.8197,3766.0,3658.0,92.0,3177.0,2628.0,73.0,589.0,1030.0,19.0,5415.0,5793.0,139.0,4788.0,4502.0,115.0,627.0,1291.0,24.0
196,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,5,Blue,sup,ShiauC,eStar,Leona,Elise,Qiyana,Pantheon,Renekton,Nocturne,2108,1,2,8,11,25,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,4735,134.7723,0.0653644,67,1.907,15,0.4269,24,96.0,2.7324,8641,4065,115.7021,0.100122,7300.0,,35.0,35.0,0,0,0,0.9962,2256.0,2502.0,14.0,2004.0,2179.0,11.0,252.0,323.0,3.0,3433.0,3161.0,19.0,3198.0,3615.0,23.0,235.0,-454.0,-4.0
197,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,6,Red,top,Holder,Rogue Warriors,Gangplank,Akali,Jarvan IV,Rumble,Ryze,LeBlanc,2108,0,6,4,8,19,25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5408,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,24546,698.6528,0.354061,17,0.4839,1,0.0285,7,28.0,0.797,13686,9110,259.2979,0.261173,13158.0,,234.0,222.0,12,8,0,6.6603,3472.0,4828.0,91.0,3021.0,4480.0,72.0,451.0,348.0,19.0,5681.0,7294.0,138.0,4363.0,6305.0,102.0,1318.0,989.0,36.0
198,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,7,Red,jng,Haro,Rogue Warriors,Gragas,Akali,Jarvan IV,Rumble,Ryze,LeBlanc,2108,0,0,3,12,19,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5408,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,9642,274.4402,0.13908,35,0.9962,13,0.37,15,68.0,1.9355,9602,5026,143.055,0.144091,9525.0,,163.0,27.0,136,87,20,4.6395,2995.0,2808.0,60.0,3145.0,3484.0,61.0,-150.0,-676.0,-1.0,4307.0,4581.0,87.0,4407.0,4889.0,86.0,-100.0,-308.0,1.0
199,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,8,Red,mid,Wuming,Rogue Warriors,Lucian,Akali,Jarvan IV,Rumble,Ryze,LeBlanc,2108,0,6,7,9,19,25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5408,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,18164,517.0019,0.26200500000000004,18,0.5123,20,0.5693,8,64.0,1.8216,12861,8285,235.8159,0.237521,12200.0,,227.0,211.0,16,12,0,6.4611,3959.0,4882.0,86.0,3565.0,4273.0,87.0,394.0,609.0,-1.0,5541.0,6628.0,118.0,5143.0,6061.0,127.0,398.0,567.0,-9.0
200,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,9,Red,bot,ZWuJi,Rogue Warriors,Miss Fortune,Akali,Jarvan IV,Rumble,Ryze,LeBlanc,2108,0,5,3,8,19,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5408,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,12479,355.1898,0.180002,13,0.37,14,0.3985,5,47.0,1.3378,14131,9555,271.9639,0.273931,13875.0,,310.0,272.0,38,34,0,8.8235,3177.0,2628.0,73.0,3766.0,3658.0,92.0,-589.0,-1030.0,-19.0,4788.0,4502.0,115.0,5415.0,5793.0,139.0,-627.0,-1291.0,-24.0
201,5657-7255,complete,https://lpl.qq.com/es/stats.shtml?bmid=5657,LPL,2020,Spring,0,2020-01-14 09:21:00,1,10.1,10,Red,sup,Ley,Rogue Warriors,Nautilus,Akali,Jarvan IV,Rumble,Ryze,LeBlanc,2108,0,2,8,8,19,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5408,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,4496,127.9696,0.0648521,48,1.3662,6,0.1708,15,67.0,1.907,7481,2905,82.685,0.0832845,7175.0,,38.0,38.0,0,0,0,1.0816,2004.0,2179.0,11.0,2256.0,2502.0,14.0,-252.0,-323.0,-3.0,3198.0,3615.0,23.0,3433.0,3161.0,19.0,-235.0,454.0,4.0
