,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
432,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,1,Blue,top,Kingen,Bilibili Gaming,Aatrox,Pantheon,Senna,Elise,Mordekaiser,Irelia,1856,0,3,2,1,6,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,10327,333.847,0.235384,9,0.2909,8,0.2586,6,31.0,1.0022,11372,7310,236.3147,0.254942,11980.0,,232.0,229.0,3,1,0,7.5,3020.0,4824.0,78.0,3097.0,4734.0,81.0,-77.0,90.0,-3.0,5355.0,7508.0,136.0,4807.0,7863.0,134.0,548.0,-355.0,2.0
433,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,2,Blue,jng,Meteor,Bilibili Gaming,Gragas,Pantheon,Senna,Elise,Mordekaiser,Irelia,1856,0,0,4,2,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.194,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,5737,185.4634,0.13076400000000002,29,0.9375,6,0.194,14,51.0,1.6487,8506,4444,143.6638,0.15499000000000002,8210.0,,139.0,9.0,130,90,0,4.4935,2981.0,2926.0,62.0,3099.0,3153.0,72.0,-118.0,-227.0,-10.0,4718.0,4422.0,86.0,4993.0,5042.0,108.0,-275.0,-620.0,-22.0
434,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,3,Blue,mid,FoFo,Bilibili Gaming,Lucian,Pantheon,Senna,Elise,Mordekaiser,Irelia,1856,0,3,2,1,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,15855,512.5539,0.36138400000000004,15,0.4849,17,0.5496,4,43.0,1.3901,11380,7318,236.5733,0.25522100000000003,11500.0,,272.0,241.0,31,19,12,8.7931,3493.0,5041.0,99.0,3036.0,4682.0,75.0,457.0,359.0,24.0,5418.0,7881.0,155.0,5340.0,7720.0,132.0,78.0,161.0,23.0
435,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,4,Blue,bot,Jinjiao,Bilibili Gaming,Varus,Pantheon,Senna,Elise,Mordekaiser,Irelia,1856,0,0,5,3,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,9182,296.8319,0.209286,10,0.3233,22,0.7112,4,50.0,1.6164,11085,7023,227.0366,0.24493299999999998,10950.0,,284.0,268.0,16,16,0,9.181,3163.0,3448.0,82.0,3332.0,3495.0,90.0,-169.0,-47.0,-8.0,5257.0,6372.0,148.0,5367.0,6485.0,152.0,-110.0,-113.0,-4.0
436,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,5,Blue,sup,XinMo,Bilibili Gaming,Braum,Pantheon,Senna,Elise,Mordekaiser,Irelia,1856,0,0,5,5,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,2772,89.6121,0.06318240000000001,49,1.5841,13,0.4203,18,77.0,2.4892,6640,2578,83.3405,0.08991339999999999,5950.0,,32.0,32.0,0,0,0,1.0345,1965.0,1844.0,12.0,2085.0,2409.0,13.0,-120.0,-565.0,-1.0,3089.0,2736.0,20.0,3291.0,3359.0,18.0,-202.0,-623.0,2.0
437,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,6,Red,top,Langx,Royal Never Give Up,Renekton,Akali,Aphelios,Qiyana,Zoe,LeBlanc,1856,1,2,0,7,18,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5819,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,7570,244.7198,0.15775799999999998,18,0.5819,6,0.194,10,29.0,0.9375,12971,8909,288.0065,0.236262,12500.0,,269.0,250.0,19,7,1,8.6961,3097.0,4734.0,81.0,3020.0,4824.0,78.0,77.0,-90.0,3.0,4807.0,7863.0,134.0,5355.0,7508.0,136.0,-548.0,355.0,-2.0
438,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,7,Red,jng,XLB,Royal Never Give Up,Rek'Sai,Akali,Aphelios,Qiyana,Zoe,LeBlanc,1856,1,2,3,5,18,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5819,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,6873,222.1875,0.143232,29,0.9375,15,0.4849,11,64.0,2.069,9626,5564,179.8707,0.147556,9100.0,,163.0,16.0,147,104,8,5.2694,3099.0,3153.0,72.0,2981.0,2926.0,62.0,118.0,227.0,10.0,4993.0,5042.0,108.0,4718.0,4422.0,86.0,275.0,620.0,22.0
439,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,8,Red,mid,Xiaohu,Royal Never Give Up,Rumble,Akali,Aphelios,Qiyana,Zoe,LeBlanc,1856,1,10,0,6,18,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5819,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,16902,546.4009,0.35223499999999996,17,0.5496,4,0.1293,11,29.0,0.9375,13425,9363,302.6832,0.248302,11375.0,,210.0,201.0,9,9,0,6.7888,3036.0,4682.0,75.0,3493.0,5041.0,99.0,-457.0,-359.0,-24.0,5340.0,7720.0,132.0,5418.0,7881.0,155.0,-78.0,-161.0,-23.0
440,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,9,Red,bot,Betty,Royal Never Give Up,Miss Fortune,Akali,Aphelios,Qiyana,Zoe,LeBlanc,1856,1,4,1,9,18,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5819,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,12481,403.4806,0.260102,18,0.5819,9,0.2909,9,41.0,1.3254,14167,10105,326.6703,0.267979,12625.0,,322.0,291.0,31,16,11,10.4095,3332.0,3495.0,90.0,3163.0,3448.0,82.0,169.0,47.0,8.0,5367.0,6485.0,152.0,5257.0,6372.0,148.0,110.0,113.0,4.0
441,5666-7273,complete,https://lpl.qq.com/es/stats.shtml?bmid=5666,LPL,2020,Spring,0,2020-01-18 11:22:00,1,10.1,10,Red,sup,Ming,Royal Never Give Up,Rakan,Akali,Aphelios,Qiyana,Zoe,LeBlanc,1856,1,0,2,16,18,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5819,0.7759,,,,,,,,,,,,,,,,,,,,,,,,,,4159,134.4504,0.0866729,52,1.681,16,0.5172,16,92.0,2.9741,7829,3767,121.778,0.0999013,6725.0,,35.0,35.0,0,0,0,1.1315,2085.0,2409.0,13.0,1965.0,1844.0,12.0,120.0,565.0,1.0,3291.0,3359.0,18.0,3089.0,2736.0,20.0,202.0,623.0,-2.0
