,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2088,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,1,Blue,top,Lot,Royal Youth Academy,Mordekaiser,Miss Fortune,Senna,Rek'Sai,Xayah,LeBlanc,1795,0,0,4,2,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8738,292.078,0.15583,13,0.4345,1,0.0334,6,15.0,0.5014,8204,4267,142.6295,0.161485,8150.0,,177.0,169.0,8,5,0,5.9164,2873.0,4405.0,65.0,2983.0,4674.0,75.0,-110.0,-269.0,-10.0,4386.0,7064.0,105.0,5246.0,7763.0,127.0,-860.0,-699.0,-22.0
2089,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,2,Blue,jng,Sevi9,Royal Youth Academy,Elise,Miss Fortune,Senna,Rek'Sai,Xayah,LeBlanc,1795,0,0,9,3,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9391,313.9053,0.167475,8,0.2674,11,0.3677,8,44.0,1.4708,7962,4025,134.5404,0.152326,7950.0,,152.0,40.0,112,87,0,5.0808,2852.0,2997.0,59.0,3444.0,2939.0,49.0,-592.0,58.0,10.0,4104.0,4550.0,84.0,5811.0,5046.0,68.0,-1707.0,-496.0,16.0
2090,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,3,Blue,mid,Rhemio,Royal Youth Academy,Pantheon,Miss Fortune,Senna,Rek'Sai,Xayah,LeBlanc,1795,0,4,4,4,9,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3008,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13527,452.156,0.24123499999999998,11,0.3677,8,0.2674,6,25.0,0.8357,11789,7852,262.4624,0.297173,10745.0,,212.0,212.0,0,0,0,7.0864,2916.0,4385.0,74.0,3800.0,5281.0,101.0,-884.0,-896.0,-27.0,5602.0,6915.0,108.0,6654.0,7963.0,150.0,-1052.0,-1048.0,-42.0
2091,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,4,Blue,bot,Jeyrus,Royal Youth Academy,Aphelios,Miss Fortune,Senna,Rek'Sai,Xayah,LeBlanc,1795,0,4,3,1,9,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18729,626.039,0.334005,12,0.4011,7,0.234,5,32.0,1.0696,11811,7874,263.1978,0.298005,10850.0,,263.0,255.0,8,4,0,8.7911,3147.0,3247.0,83.0,2857.0,3188.0,69.0,290.0,59.0,14.0,4785.0,5317.0,130.0,4367.0,5641.0,108.0,418.0,-324.0,22.0
2092,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,5,Blue,sup,Petrichor,Royal Youth Academy,Braum,Miss Fortune,Senna,Rek'Sai,Xayah,LeBlanc,1795,0,1,4,6,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3008,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5689,190.1616,0.10145499999999999,29,0.9694,3,0.1003,6,50.0,1.6713,6342,2405,80.39,0.09101089999999999,5900.0,,27.0,27.0,0,0,0,0.9025,2026.0,2749.0,12.0,1985.0,2449.0,12.0,41.0,300.0,0.0,3575.0,4517.0,19.0,3358.0,3696.0,24.0,217.0,821.0,-5.0
2093,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,6,Red,top,StarScreen,İstanbul Wildcats Academy,Aatrox,Akali,Jarvan IV,Rumble,Syndra,Viktor,1795,1,3,2,11,24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8022,1.1031,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16487,551.0975,0.26052800000000004,13,0.4345,3,0.1003,6,31.0,1.0362,13414,9477,316.7799,0.238267,12550.0,,262.0,231.0,31,13,9,8.7577,2983.0,4674.0,75.0,2873.0,4405.0,65.0,110.0,269.0,10.0,5246.0,7763.0,127.0,4386.0,7064.0,105.0,860.0,699.0,22.0
2094,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,7,Red,jng,Ferret,İstanbul Wildcats Academy,Lee Sin,Akali,Jarvan IV,Rumble,Syndra,Viktor,1795,1,10,3,10,24,9,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8022,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14048,469.571,0.221987,20,0.6685,4,0.1337,11,32.0,1.0696,12327,8390,280.4457,0.21093699999999999,10900.0,,138.0,25.0,113,70,8,4.6128,3444.0,2939.0,49.0,2852.0,2997.0,59.0,592.0,-58.0,-10.0,5811.0,5046.0,68.0,4104.0,4550.0,84.0,1707.0,496.0,-16.0
2095,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,8,Red,mid,Serin,İstanbul Wildcats Academy,Cassiopeia,Akali,Jarvan IV,Rumble,Syndra,Viktor,1795,1,10,2,9,24,9,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8022,1.1031,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20471,684.2674,0.32348299999999997,12,0.4011,4,0.1337,4,26.0,0.8691,15364,11427,381.961,0.28729499999999997,14210.0,,269.0,239.0,30,18,8,8.9916,3800.0,5281.0,101.0,2916.0,4385.0,74.0,884.0,896.0,27.0,6654.0,7963.0,150.0,5602.0,6915.0,108.0,1052.0,1048.0,42.0
2096,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,9,Red,bot,Kaori,İstanbul Wildcats Academy,Soraka,Akali,Jarvan IV,Rumble,Syndra,Viktor,1795,1,0,1,17,24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8022,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7553,252.468,0.119353,17,0.5682,4,0.1337,11,24.0,0.8022,10168,6231,208.2786,0.156654,9385.0,,197.0,193.0,4,0,4,6.585,2857.0,3188.0,69.0,3147.0,3247.0,83.0,-290.0,-59.0,-14.0,4367.0,5641.0,108.0,4785.0,5317.0,130.0,-418.0,324.0,-22.0
2097,ESPORTSTMNT04/1120436,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120436?gameHash=58bc4281a76534f3&amp;tab=overview,TRA,2020,,0,2020-02-04 14:58:24,1,10.02,10,Red,sup,Pbd,İstanbul Wildcats Academy,Rakan,Akali,Jarvan IV,Rumble,Syndra,Viktor,1795,1,1,1,16,24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8022,1.1031,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4724,157.9053,0.0746488,21,0.7019,16,0.5348,9,62.0,2.0724,8187,4250,142.0613,0.10684600000000001,6825.0,,39.0,39.0,0,0,0,1.3036,1985.0,2449.0,12.0,2026.0,2749.0,12.0,-41.0,-300.0,0.0,3358.0,3696.0,24.0,3575.0,4517.0,19.0,-217.0,-821.0,5.0
