,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
61836,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,1,Blue,top,Zvene,SINNERS Esports,Ornn,Cassiopeia,Irelia,Kha'Zix,Shen,Camille,2780,0,3,5,16,21,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4532,1.036,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,27509,593.7194,0.18302100000000002,23,0.4964,3,0.0647,8,40.0,0.8633,12934,6987,150.7986,0.16147899999999998,12300.0,,214.0,205.0,9,6,0,4.6187,2748.0,4113.0,65.0,3567.0,4489.0,89.0,-819.0,-376.0,-24.0,4472.0,6763.0,108.0,5290.0,6866.0,138.0,-818.0,-103.0,-30.0
61837,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,2,Blue,jng,Wysek,SINNERS Esports,Lee Sin,Cassiopeia,Irelia,Kha'Zix,Shen,Camille,2780,0,4,8,14,21,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4532,1.036,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16502,356.1583,0.10979000000000001,35,0.7554,13,0.2806,21,65.0,1.4029,13762,7815,168.6691,0.180615,13050.0,,226.0,29.0,197,149,15,4.8777,2711.0,2545.0,51.0,2827.0,3012.0,49.0,-116.0,-467.0,2.0,3984.0,3998.0,76.0,4486.0,4478.0,72.0,-502.0,-480.0,4.0
61838,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,3,Blue,mid,Ordno,SINNERS Esports,Syndra,Cassiopeia,Irelia,Kha'Zix,Shen,Camille,2780,0,7,2,10,21,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4532,1.036,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,55529,1198.4676,0.369442,15,0.3237,13,0.2806,5,52.0,1.1223,20459,14512,313.2086,0.335387,20725.0,,449.0,415.0,34,27,6,9.6906,3456.0,4623.0,97.0,3018.0,4531.0,74.0,438.0,92.0,23.0,5682.0,7816.0,165.0,4550.0,6794.0,112.0,1132.0,1022.0,53.0
61839,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,4,Blue,bot,PiOk,SINNERS Esports,Senna,Cassiopeia,Irelia,Kha'Zix,Shen,Camille,2780,0,2,6,16,21,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4532,1.036,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,38361,827.9353,0.25522100000000003,15,0.3237,8,0.1727,3,33.0,0.7122,14727,8780,189.4964,0.20291700000000001,14075.0,,251.0,233.0,18,16,2,5.4173,3000.0,2986.0,73.0,3582.0,2908.0,80.0,-582.0,78.0,-7.0,4379.0,4755.0,106.0,6016.0,5106.0,136.0,-1637.0,-351.0,-30.0
61840,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,5,Blue,sup,Vasked,SINNERS Esports,Nautilus,Cassiopeia,Irelia,Kha'Zix,Shen,Camille,2780,0,5,6,9,21,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4532,1.036,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12404,267.7122,0.0825255,75,1.6187,22,0.4748,26,131.0,2.8273,11122,5175,111.6906,0.119602,10550.0,,44.0,44.0,0,0,0,0.9496,2008.0,2369.0,15.0,2602.0,3182.0,14.0,-594.0,-813.0,1.0,3305.0,3633.0,21.0,4371.0,4490.0,21.0,-1066.0,-857.0,0.0
61841,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,6,Red,top,Bako,Intrepid Fox Gaming,Renekton,Lux,Caitlyn,Elise,Volibear,Nidalee,2780,1,7,5,5,27,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5827,1.036,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,27014,583.036,0.239984,16,0.3453,11,0.2374,2,46.0,0.9928,16350,10403,224.5252,0.200165,15100.0,,316.0,283.0,33,16,7,6.8201,3567.0,4489.0,89.0,2748.0,4113.0,65.0,819.0,376.0,24.0,5290.0,6866.0,138.0,4472.0,6763.0,108.0,818.0,103.0,30.0
61842,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,7,Red,jng,LeBron,Intrepid Fox Gaming,Trundle,Lux,Caitlyn,Elise,Volibear,Nidalee,2780,1,3,5,17,27,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5827,1.036,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12605,272.0504,0.111979,7,0.1511,16,0.3453,5,63.0,1.3597,14344,8397,181.2302,0.16156900000000002,13895.0,,195.0,46.0,149,91,2,4.2086,2827.0,3012.0,49.0,2711.0,2545.0,51.0,116.0,467.0,-2.0,4486.0,4478.0,72.0,3984.0,3998.0,76.0,502.0,480.0,-4.0
61843,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,8,Red,mid,Punisher,Intrepid Fox Gaming,Sylas,Lux,Caitlyn,Elise,Volibear,Nidalee,2780,1,3,4,13,27,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5827,1.036,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,20872,450.4748,0.18542,23,0.4964,14,0.3022,11,80.0,1.7266,18339,12392,267.4532,0.23843499999999998,16025.0,,340.0,294.0,46,22,9,7.3381,3018.0,4531.0,74.0,3456.0,4623.0,97.0,-438.0,-92.0,-23.0,4550.0,6794.0,112.0,5682.0,7816.0,165.0,-1132.0,-1022.0,-53.0
61844,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,9,Red,bot,Gagai,Intrepid Fox Gaming,Ashe,Lux,Caitlyn,Elise,Volibear,Nidalee,2780,1,9,4,13,27,21,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5827,1.036,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,39449,851.4173,0.350452,16,0.3453,21,0.4532,6,80.0,1.7266,19846,13899,299.9784,0.267431,18175.0,,378.0,346.0,32,28,0,8.1583,3582.0,2908.0,80.0,3000.0,2986.0,73.0,582.0,-78.0,7.0,6016.0,5106.0,136.0,4379.0,4755.0,106.0,1637.0,351.0,30.0
61845,ESPORTSTMNT06/1320222,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320222?gameHash=95c1c5803184aa45&amp;tab=overview,EM,2020,Summer,0,2020-08-17 16:55:40,1,10.16,10,Red,sup,Kyouma,Intrepid Fox Gaming,Thresh,Lux,Caitlyn,Elise,Volibear,Nidalee,2780,1,5,3,20,27,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5827,1.036,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12626,272.5036,0.11216500000000001,77,1.6619,15,0.3237,26,134.0,2.8921,12828,6881,148.5108,0.1324,10780.0,,40.0,40.0,0,0,0,0.8633,2602.0,3182.0,14.0,2008.0,2369.0,15.0,594.0,813.0,-1.0,4371.0,4490.0,21.0,3305.0,3633.0,21.0,1066.0,857.0,0.0
