,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
648,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,1,Blue,top,Sacre,SK Gaming,Ornn,Lucian,Jarvan IV,Renekton,Ryze,Zoe,3049,1,2,3,4,9,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1771,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15339,301.8498,0.16658199999999998,27,0.5313,16,0.3149,7,61.0,1.2004,17032,10536,207.3336,0.200797,16575.0,,327.0,323.0,4,4,0,6.4349,3376.0,4452.0,71.0,3218.0,4630.0,84.0,158.0,-178.0,-13.0,5518.0,7175.0,124.0,4794.0,7290.0,129.0,724.0,-115.0,-5.0
649,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,2,Blue,jng,Trick,SK Gaming,Rek'Sai,Lucian,Jarvan IV,Renekton,Ryze,Zoe,3049,1,1,3,3,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1771,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6850,134.7983,0.074391,22,0.4329,17,0.3345,21,71.0,1.3972,15301,8805,173.2699,0.16780799999999998,14950.0,,239.0,42.0,197,113,9,4.7032,3140.0,3380.0,65.0,2901.0,2811.0,55.0,239.0,569.0,10.0,4618.0,5251.0,98.0,3938.0,3673.0,75.0,680.0,1578.0,23.0
650,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,3,Blue,mid,Jenax,SK Gaming,Vel'Koz,Lucian,Jarvan IV,Renekton,Ryze,Zoe,3049,1,0,1,4,9,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1771,0.3739,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,34323,675.428,0.372748,23,0.4526,10,0.1968,7,69.0,1.3578,18773,12277,241.594,0.233975,17375.0,,414.0,366.0,48,43,4,8.1469,3623.0,5099.0,94.0,3409.0,5070.0,95.0,214.0,29.0,-1.0,5544.0,7816.0,147.0,5209.0,7894.0,149.0,335.0,-78.0,-2.0
651,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,4,Blue,bot,Crownshot,SK Gaming,Aphelios,Lucian,Jarvan IV,Renekton,Ryze,Zoe,3049,1,6,2,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1771,0.3739,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,29248,575.5592,0.317633,12,0.2361,21,0.4133,2,85.0,1.6727,22759,16263,320.0328,0.309938,24633.0,,510.0,431.0,79,66,8,10.0361,3239.0,3211.0,84.0,3280.0,2818.0,86.0,-41.0,393.0,-2.0,5347.0,5440.0,139.0,5375.0,5440.0,157.0,-28.0,0.0,-18.0
652,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,5,Blue,sup,LIMIT,SK Gaming,Braum,Lucian,Jarvan IV,Renekton,Ryze,Zoe,3049,1,0,1,8,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1771,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6321,124.3883,0.0686461,89,1.7514,16,0.3149,24,164.0,3.2273,11086,4590,90.3247,0.0874816,10350.0,,39.0,39.0,0,0,0,0.7675,2015.0,2160.0,12.0,2344.0,2603.0,10.0,-329.0,-443.0,2.0,3224.0,3613.0,22.0,3410.0,3694.0,18.0,-186.0,-81.0,4.0
653,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,6,Red,top,Cabochard,Team Vitality,Aatrox,Akali,Qiyana,Pantheon,Rumble,LeBlanc,3049,0,1,2,3,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1968,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14487,285.0836,0.177146,17,0.3345,6,0.1181,9,46.0,0.9052,16828,10332,203.3191,0.19865,16025.0,,345.0,323.0,22,15,0,6.7891,3218.0,4630.0,84.0,3376.0,4452.0,71.0,-158.0,178.0,13.0,4794.0,7290.0,129.0,5518.0,7175.0,124.0,-724.0,115.0,5.0
654,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,7,Red,jng,Skeanz,Team Vitality,Lee Sin,Akali,Qiyana,Pantheon,Rumble,LeBlanc,3049,0,1,2,6,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1968,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5569,109.59,0.06809730000000001,36,0.7084,8,0.1574,21,72.0,1.4169,13885,7389,145.4051,0.142069,13450.0,,214.0,19.0,195,125,5,4.2112,2901.0,2811.0,55.0,3140.0,3380.0,65.0,-239.0,-569.0,-10.0,3938.0,3673.0,75.0,4618.0,5251.0,98.0,-680.0,-1578.0,-23.0
655,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,8,Red,mid,Saken,Team Vitality,Cassiopeia,Akali,Qiyana,Pantheon,Rumble,LeBlanc,3049,0,4,3,4,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1968,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,30177,593.8406,0.369002,32,0.6297,8,0.1574,18,64.0,1.2594,19394,12898,253.8144,0.247984,18600.0,,431.0,369.0,62,46,5,8.4815,3409.0,5070.0,95.0,3623.0,5099.0,94.0,-214.0,-29.0,1.0,5209.0,7894.0,149.0,5544.0,7816.0,147.0,-335.0,78.0,2.0
656,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,9,Red,bot,Comp,Team Vitality,Miss Fortune,Akali,Qiyana,Pantheon,Rumble,LeBlanc,3049,0,3,0,3,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1968,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26423,519.9672,0.32309899999999997,21,0.4133,20,0.3936,4,69.0,1.3578,24129,17633,346.9925,0.339019,22150.0,,598.0,520.0,78,71,2,11.7678,3280.0,2818.0,86.0,3239.0,3211.0,84.0,41.0,-393.0,2.0,5375.0,5440.0,157.0,5347.0,5440.0,139.0,28.0,0.0,18.0
657,ESPORTSTMNT05/1390170,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390170?gameHash=686d45795a6ea625&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 17:40:56,1,10.01,10,Red,sup,Jactroll,Team Vitality,Leona,Akali,Qiyana,Pantheon,Rumble,LeBlanc,3049,0,1,2,4,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1968,0.3739,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5124,100.8331,0.0626559,98,1.9285,12,0.2361,30,143.0,2.814,10255,3759,73.9718,0.07227860000000001,9400.0,,34.0,34.0,0,0,0,0.6691,2344.0,2603.0,10.0,2015.0,2160.0,12.0,329.0,443.0,-2.0,3410.0,3694.0,18.0,3224.0,3613.0,22.0,186.0,81.0,-4.0
