,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2364,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,1,Blue,top,Summit,SANDBOX Gaming,Sett,Rumble,Pantheon,Qiyana,Ornn,Orianna,1341,1,4,0,5,16,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7159,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10130,453.2438,0.272283,12,0.5369,1,0.0447,5,18.0,0.8054,9950,6939,310.4698,0.243194,8025.0,,180.0,176.0,4,4,0,8.0537,3337.0,4715.0,74.0,2777.0,4383.0,62.0,560.0,332.0,12.0,6181.0,7556.0,117.0,4337.0,6741.0,102.0,1844.0,815.0,15.0
2365,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,2,Blue,jng,OnFleek,SANDBOX Gaming,Rek'Sai,Rumble,Pantheon,Qiyana,Ornn,Orianna,1341,1,5,1,7,16,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7159,0.8949,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7853,351.3647,0.211079,27,1.2081,13,0.5817,7,66.0,2.953,9163,6152,275.2573,0.21561100000000002,8000.0,,139.0,27.0,112,56,16,6.2192,4126.0,3749.0,64.0,2822.0,3110.0,53.0,1304.0,639.0,11.0,6016.0,5409.0,93.0,4627.0,4838.0,82.0,1389.0,571.0,11.0
2366,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,3,Blue,mid,Dove,SANDBOX Gaming,Zoe,Rumble,Pantheon,Qiyana,Ornn,Orianna,1341,1,5,0,6,16,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7159,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10820,484.1163,0.290829,11,0.4922,5,0.2237,5,28.0,1.2528,9932,6921,309.6644,0.242563,8525.0,,188.0,173.0,15,8,3,8.4116,3965.0,5075.0,90.0,3250.0,4422.0,88.0,715.0,653.0,2.0,6815.0,8270.0,135.0,5187.0,7203.0,143.0,1628.0,1067.0,-8.0
2367,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,4,Blue,bot,Leo,SANDBOX Gaming,Syndra,Rumble,Pantheon,Qiyana,Ornn,Orianna,1341,1,2,1,6,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7159,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6584,294.5861,0.17697000000000002,17,0.7606,9,0.4027,3,35.0,1.566,9062,6051,270.7383,0.212071,8875.0,,206.0,198.0,8,4,0,9.217,3273.0,3380.0,88.0,3349.0,3294.0,93.0,-76.0,86.0,-5.0,5565.0,5661.0,141.0,5125.0,4790.0,133.0,440.0,871.0,8.0
2368,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,5,Blue,sup,GorillA,SANDBOX Gaming,Thresh,Rumble,Pantheon,Qiyana,Ornn,Orianna,1341,1,0,2,8,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7159,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1817,81.2975,0.0488388,28,1.2528,6,0.2685,7,53.0,2.3714,5481,2470,110.5145,0.08656169999999999,4625.0,,24.0,24.0,0,0,0,1.0738,2106.0,2302.0,13.0,2142.0,2609.0,14.0,-36.0,-307.0,-1.0,3680.0,4201.0,19.0,3342.0,4185.0,22.0,338.0,16.0,-3.0
2369,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,6,Red,top,ikssu,SeolHaeOne Prince,Mordekaiser,Akali,Olaf,Elise,Tahm Kench,Leona,1341,0,1,5,0,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.179,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7443,333.0201,0.315796,9,0.4027,2,0.0895,4,20.0,0.8949,6852,3841,171.8568,0.214498,6900.0,,161.0,147.0,14,11,0,7.2036,2777.0,4383.0,62.0,3337.0,4715.0,74.0,-560.0,-332.0,-12.0,4337.0,6741.0,102.0,6181.0,7556.0,117.0,-1844.0,-815.0,-15.0
2370,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,7,Red,jng,Flawless,SeolHaeOne Prince,Jarvan IV,Akali,Olaf,Elise,Tahm Kench,Leona,1341,0,1,3,2,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2804,125.4586,0.11897,10,0.4474,13,0.5817,9,26.0,1.1633,6295,3284,146.9351,0.183391,6245.0,,103.0,20.0,83,61,4,4.6085,2822.0,3110.0,53.0,4126.0,3749.0,64.0,-1304.0,-639.0,-11.0,4627.0,4838.0,82.0,6016.0,5409.0,93.0,-1389.0,-571.0,-11.0
2371,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,8,Red,mid,Keine,SeolHaeOne Prince,Cassiopeia,Akali,Olaf,Elise,Tahm Kench,Leona,1341,0,0,3,1,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5756,257.5391,0.244219,11,0.4922,2,0.0895,5,17.0,0.7606,7261,4250,190.1566,0.23734,7260.0,,194.0,178.0,16,16,0,8.6801,3250.0,4422.0,88.0,3965.0,5075.0,90.0,-715.0,-653.0,-2.0,5187.0,7203.0,143.0,6815.0,8270.0,135.0,-1628.0,-1067.0,8.0
2372,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,9,Red,bot,HyBriD,SeolHaeOne Prince,Aphelios,Akali,Olaf,Elise,Tahm Kench,Leona,1341,0,2,3,0,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5755,257.4944,0.244177,8,0.3579,7,0.3132,2,14.0,0.6264,7899,4888,218.7025,0.272971,7650.0,,193.0,187.0,6,6,0,8.6353,3349.0,3294.0,93.0,3273.0,3380.0,88.0,76.0,-86.0,5.0,5125.0,4790.0,133.0,5565.0,5661.0,141.0,-440.0,-871.0,-8.0
2373,ESPORTSTMNT01/1293312,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293312?gameHash=8e2209227e28843b,LCK,2020,Spring,0,2020-02-06 07:48:27,1,10.02,10,Red,sup,Secret,SeolHaeOne Prince,Nautilus,Akali,Olaf,Elise,Tahm Kench,Leona,1341,0,0,2,2,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.8949,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1811,81.0291,0.0768382,29,1.2975,8,0.3579,10,42.0,1.8792,4655,1644,73.557,0.09180039999999999,4600.0,,27.0,27.0,0,0,0,1.2081,2142.0,2609.0,14.0,2106.0,2302.0,13.0,36.0,307.0,1.0,3342.0,4185.0,22.0,3680.0,4201.0,19.0,-338.0,-16.0,3.0
