,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2544,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,1,Blue,top,Hinu,Asura,Kled,Syndra,Rumble,Mordekaiser,Ornn,Lucian,2175,1,3,2,15,22,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6069,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12892,355.6414,0.195662,9,0.2483,7,0.1931,6,25.0,0.6897,15494,10781,297.4069,0.22223299999999999,14900.0,,277.0,271.0,6,0,4,7.6414,3088.0,4130.0,56.0,3113.0,4590.0,77.0,-25.0,-460.0,-21.0,5303.0,6866.0,96.0,4803.0,6800.0,120.0,500.0,66.0,-24.0
2545,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,2,Blue,jng,ReGank,Asura,Olaf,Syndra,Rumble,Mordekaiser,Ornn,Lucian,2175,1,7,0,9,22,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6069,0.6897,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12299,339.2828,0.186662,12,0.331,18,0.4966,12,69.0,1.9034,13887,9174,253.0759,0.189108,11475.0,,205.0,32.0,173,107,4,5.6552,3683.0,3597.0,63.0,3280.0,3504.0,75.0,403.0,93.0,-12.0,5584.0,5478.0,89.0,4689.0,5054.0,104.0,895.0,424.0,-15.0
2546,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,3,Blue,mid,Roi,Asura,Akali,Syndra,Rumble,Mordekaiser,Ornn,Lucian,2175,1,4,0,10,22,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6069,0.6897,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17689,487.9724,0.268467,9,0.2483,5,0.1379,5,30.0,0.8276,15183,10470,288.8276,0.21582199999999999,14375.0,,319.0,275.0,44,34,8,8.8,3047.0,4856.0,70.0,3406.0,4690.0,96.0,-359.0,166.0,-26.0,4783.0,7430.0,121.0,5870.0,7079.0,140.0,-1087.0,351.0,-19.0
2547,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,4,Blue,bot,Garden,Asura,Miss Fortune,Syndra,Rumble,Mordekaiser,Ornn,Lucian,2175,1,7,1,9,22,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6069,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15233,420.2207,0.231192,15,0.4138,14,0.3862,5,74.0,2.0414,17729,13016,359.0621,0.268302,16210.0,,376.0,326.0,50,32,8,10.3724,3363.0,3355.0,87.0,3151.0,3060.0,84.0,212.0,295.0,3.0,5531.0,6035.0,145.0,4734.0,4774.0,125.0,797.0,1261.0,20.0
2548,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,5,Blue,sup,IDK,Asura,Bard,Syndra,Rumble,Mordekaiser,Ornn,Lucian,2175,1,1,0,17,22,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6069,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7776,214.5103,0.11801700000000001,56,1.5448,22,0.6069,15,123.0,3.3931,9784,5071,139.8897,0.10453499999999999,9075.0,,52.0,52.0,0,0,0,1.4345,2247.0,2929.0,13.0,2015.0,2871.0,11.0,232.0,58.0,2.0,3627.0,5061.0,26.0,3090.0,4146.0,17.0,537.0,915.0,9.0
2549,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,6,Red,top,Destroy,Spear Gaming,Kennen,Elise,Rek'Sai,Sett,Irelia,Leona,2175,0,1,6,2,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19952,550.4,0.308444,22,0.6069,10,0.2759,10,46.0,1.269,12618,7905,218.069,0.23168000000000002,12185.0,,302.0,287.0,15,10,0,8.331,3113.0,4590.0,77.0,3088.0,4130.0,56.0,25.0,460.0,21.0,4803.0,6800.0,120.0,5303.0,6866.0,96.0,-500.0,-66.0,24.0
2550,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,7,Red,jng,Winter,Spear Gaming,Lee Sin,Elise,Rek'Sai,Sett,Irelia,Leona,2175,0,0,3,3,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6029,166.3172,0.09320410000000001,19,0.5241,5,0.1379,11,32.0,0.8828,9571,4858,134.0138,0.14238299999999998,9300.0,,187.0,21.0,166,134,0,5.1586,3280.0,3504.0,75.0,3683.0,3597.0,63.0,-403.0,-93.0,12.0,4689.0,5054.0,104.0,5584.0,5478.0,89.0,-895.0,-424.0,15.0
2551,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,8,Red,mid,Tank,Spear Gaming,Ryze,Elise,Rek'Sai,Sett,Irelia,Leona,2175,0,1,3,0,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0828,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,19621,541.269,0.303327,13,0.3586,4,0.1103,8,33.0,0.9103,14858,10145,279.8621,0.297327,14250.0,,375.0,329.0,46,35,2,10.3448,3406.0,4690.0,96.0,3047.0,4856.0,70.0,359.0,-166.0,26.0,5870.0,7079.0,140.0,4783.0,7430.0,121.0,1087.0,-351.0,19.0
2552,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,9,Red,bot,Prince,Spear Gaming,Aphelios,Elise,Rek'Sai,Sett,Irelia,Leona,2175,0,1,6,2,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16259,448.5241,0.251353,19,0.5241,12,0.331,12,39.0,1.0759,13973,9260,255.4483,0.271391,14040.0,,341.0,327.0,14,14,0,9.4069,3151.0,3060.0,84.0,3363.0,3355.0,87.0,-212.0,-295.0,-3.0,4734.0,4774.0,125.0,5531.0,6035.0,145.0,-797.0,-1261.0,-20.0
2553,ESPORTSTMNT01/1293850,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1293850?gameHash=0a29fdee10ed35d0,CK,2020,Spring,0,2020-02-07 06:45:49,1,10.02,10,Red,sup,Asper,Spear Gaming,Braum,Elise,Rek'Sai,Sett,Irelia,Leona,2175,0,0,4,2,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828,0.6897,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2825,77.931,0.0436725,60,1.6552,6,0.1655,18,80.0,2.2069,6665,1952,53.8483,0.057218200000000004,6400.0,,26.0,26.0,0,0,0,0.7172,2015.0,2871.0,11.0,2247.0,2929.0,13.0,-232.0,-58.0,-2.0,3090.0,4146.0,17.0,3627.0,5061.0,26.0,-537.0,-915.0,-9.0
