,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22500,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,1,Blue,top,Biubiu,Suning-S,Sett,Olaf,Karma,Wukong,Lee Sin,Pantheon,1819,0,2,4,1,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,12057,397.702,0.20522600000000002,12,0.3958,9,0.2969,6,32.0,1.0555,9249,5263,173.6009,0.201478,8700.0,,186.0,172.0,14,12,0,6.1352,2868.0,4199.0,69.0,3004.0,4397.0,71.0,-136.0,-198.0,-2.0,4215.0,5867.0,99.0,4475.0,6503.0,110.0,-260.0,-636.0,-11.0
22501,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,2,Blue,jng,View,Suning-S,Kindred,Olaf,Karma,Wukong,Lee Sin,Pantheon,1819,0,2,2,4,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,12899,425.4755,0.21955700000000003,6,0.1979,13,0.4288,7,46.0,1.5173,10555,6569,216.6795,0.251477,10000.0,,189.0,50.0,139,81,18,6.2342,3341.0,2860.0,51.0,3923.0,3187.0,63.0,-582.0,-327.0,-12.0,5547.0,5374.0,98.0,5166.0,4289.0,85.0,381.0,1085.0,13.0
22502,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,3,Blue,mid,Lilac,Suning-S,Sylas,Olaf,Karma,Wukong,Lee Sin,Pantheon,1819,0,2,4,3,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,15981,527.1358,0.272017,16,0.5278,2,0.066,7,34.0,1.1215,9940,5954,196.3936,0.22793200000000002,8775.0,,195.0,183.0,12,12,0,6.4321,3013.0,4632.0,77.0,3733.0,4745.0,101.0,-720.0,-113.0,-24.0,4860.0,7036.0,122.0,5622.0,7181.0,148.0,-762.0,-145.0,-26.0
22503,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,4,Blue,bot,Samd,Suning-S,Senna,Olaf,Karma,Wukong,Lee Sin,Pantheon,1819,0,1,4,5,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2309,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,12967,427.7185,0.22071500000000002,28,0.9236,14,0.4618,7,63.0,2.0781,8311,4325,142.6608,0.16556700000000002,8475.0,,58.0,53.0,5,0,0,1.9131,2608.0,2339.0,8.0,4185.0,3477.0,94.0,-1577.0,-1138.0,-86.0,4381.0,3849.0,19.0,6037.0,5361.0,142.0,-1656.0,-1512.0,-123.0
22504,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,5,Blue,sup,owo,Suning-S,Tahm Kench,Olaf,Karma,Wukong,Lee Sin,Pantheon,1819,0,0,5,3,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2309,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,4846,159.8461,0.0824851,6,0.1979,5,0.1649,5,21.0,0.6927,7997,4011,132.3035,0.15354600000000002,7725.0,,134.0,134.0,0,0,0,4.42,2829.0,2487.0,54.0,2825.0,2602.0,16.0,4.0,-115.0,38.0,4451.0,4095.0,86.0,3943.0,3740.0,23.0,508.0,355.0,63.0
22505,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,6,Red,top,Rikka,All Combo,Neeko,Aphelios,Kalista,Renekton,Irelia,Aatrox,1819,1,2,2,9,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6267,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,15959,526.4101,0.163173,14,0.4618,2,0.066,5,31.0,1.0225,10087,6101,201.2424,0.17229,9175.0,,196.0,177.0,19,15,3,6.4651,3004.0,4397.0,71.0,2868.0,4199.0,69.0,136.0,198.0,2.0,4475.0,6503.0,110.0,4215.0,5867.0,99.0,260.0,636.0,11.0
22506,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,7,Red,jng,xiaohao,All Combo,Trundle,Aphelios,Kalista,Renekton,Irelia,Aatrox,1819,1,5,1,11,19,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6267,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,10344,341.1985,0.10576300000000001,11,0.3628,12,0.3958,10,45.0,1.4843,11015,7029,231.8527,0.198498,9950.0,,137.0,26.0,111,67,12,4.519,3923.0,3187.0,63.0,3341.0,2860.0,51.0,582.0,327.0,12.0,5166.0,4289.0,85.0,5547.0,5374.0,98.0,-381.0,-1085.0,-13.0
22507,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,8,Red,mid,Try9,All Combo,Syndra,Aphelios,Kalista,Renekton,Irelia,Aatrox,1819,1,4,2,11,19,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6267,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,26563,876.1847,0.271594,9,0.2969,6,0.1979,4,28.0,0.9236,11860,7874,259.7251,0.222361,10600.0,,217.0,202.0,15,15,0,7.1578,3733.0,4745.0,101.0,3013.0,4632.0,77.0,720.0,113.0,24.0,5622.0,7181.0,148.0,4860.0,7036.0,122.0,762.0,145.0,26.0
22508,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,9,Red,bot,Chase,All Combo,Miss Fortune,Aphelios,Kalista,Renekton,Irelia,Aatrox,1819,1,7,0,10,19,7,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6267,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,39564,1305.0247,0.404523,14,0.4618,6,0.1979,5,27.0,0.8906,14529,10543,347.7625,0.297737,12425.0,,298.0,275.0,23,16,3,9.8296,4185.0,3477.0,94.0,2608.0,2339.0,8.0,1577.0,1138.0,86.0,6037.0,5361.0,142.0,4381.0,3849.0,19.0,1656.0,1512.0,123.0
22509,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,10,Red,sup,Maguafu,All Combo,Thresh,Aphelios,Kalista,Renekton,Irelia,Aatrox,1819,1,1,2,10,19,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6267,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,5374,177.2622,0.0549466,45,1.4843,9,0.2969,14,64.0,2.1111,7850,3864,127.4546,0.10911400000000002,7410.0,,33.0,33.0,0,0,0,1.0885,2825.0,2602.0,16.0,2829.0,2487.0,54.0,-4.0,115.0,-38.0,3943.0,3740.0,23.0,4451.0,4095.0,86.0,-508.0,-355.0,-63.0
22510,6106-7604,complete,https://lpl.qq.com/es/stats.shtml?bmid=6106,LDL,2020,Spring,0,2020-04-15 09:19:00,1,10.06,100,Blue,team,,Suning-S,,Olaf,Karma,Wukong,Lee Sin,Pantheon,1819,0,7,19,16,7,19,0.0,0.0,0.0,0.0,0.0,,,,0.2309,0.8576,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,58750,1937.878,,68,2.243,43,1.4184,32,196.0,6.4651,46052,26120,861.5723,,43675.0,-0.12624000000000002,,,170,105,18,,14659.0,16517.0,259.0,17670.0,18408.0,345.0,-3011.0,-1891.0,-86.0,23454.0,26221.0,424.0,25243.0,27074.0,508.0,-1789.0,-853.0,-84.0
