,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2112,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,1,Blue,top,Oncan,SuperMassive Academy,Mordekaiser,Sylas,Jarvan IV,Rumble,Ornn,Elise,2078,1,2,1,1,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6853,197.873,0.141872,12,0.3465,3,0.0866,2,21.0,0.6064,12957,8442,243.7536,0.21247800000000003,12400.0,,286.0,253.0,33,19,4,8.2579,3030.0,4510.0,77.0,3181.0,4665.0,83.0,-151.0,-155.0,-6.0,4890.0,7160.0,133.0,5157.0,7781.0,146.0,-267.0,-621.0,-13.0
2113,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,2,Blue,jng,113,SuperMassive Academy,Taliyah,Sylas,Jarvan IV,Rumble,Ornn,Elise,2078,1,4,0,9,16,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.462,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15520,448.1232,0.32129800000000003,40,1.155,25,0.7218,6,93.0,2.6853,11965,7450,215.1107,0.18751099999999998,10950.0,,180.0,53.0,127,76,5,5.1973,3357.0,2463.0,37.0,2797.0,2594.0,55.0,560.0,-131.0,-18.0,4878.0,4193.0,68.0,4273.0,4468.0,92.0,605.0,-275.0,-24.0
2114,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,3,Blue,mid,Ksaez,SuperMassive Academy,Pantheon,Sylas,Jarvan IV,Rumble,Ornn,Elise,2078,1,6,0,4,16,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.462,0.4909,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14528,419.4803,0.300762,14,0.4042,8,0.231,9,41.0,1.1838,14357,9842,284.1771,0.247714,13275.0,,279.0,245.0,34,16,9,8.0558,3781.0,5305.0,81.0,2870.0,3798.0,69.0,911.0,1507.0,12.0,5667.0,8206.0,137.0,4543.0,6605.0,117.0,1124.0,1601.0,20.0
2115,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,4,Blue,bot,Machine,SuperMassive Academy,Miss Fortune,Sylas,Jarvan IV,Rumble,Ornn,Elise,2078,1,3,0,6,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.4909,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7939,229.23,0.164355,12,0.3465,9,0.2599,2,34.0,0.9817,13931,9416,271.8768,0.236992,12000.0,,295.0,270.0,25,17,1,8.5178,3257.0,3090.0,85.0,3019.0,3159.0,75.0,238.0,-69.0,10.0,5397.0,5108.0,139.0,4656.0,5030.0,119.0,741.0,78.0,20.0
2116,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,5,Blue,sup,Fastlegged,SuperMassive Academy,Thresh,Sylas,Jarvan IV,Rumble,Ornn,Elise,2078,1,1,0,11,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3464,100.0192,0.0717125,44,1.2705,19,0.5486,13,94.0,2.7141,9096,4581,132.2714,0.115303,8025.0,,50.0,46.0,4,0,0,1.4437,2329.0,2702.0,11.0,1990.0,2471.0,12.0,339.0,231.0,-1.0,3639.0,4014.0,20.0,3066.0,3659.0,21.0,573.0,355.0,-1.0
2117,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,6,Red,top,Madly,Team AURORA Academy,Fiora,Akali,Yasuo,LeBlanc,Braum,Leona,2078,0,1,1,0,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5447,157.2762,0.126613,15,0.4331,14,0.4042,7,51.0,1.4726,12948,8433,243.4937,0.312235,12558.0,,334.0,310.0,24,21,0,9.6439,3181.0,4665.0,83.0,3030.0,4510.0,77.0,151.0,155.0,6.0,5157.0,7781.0,146.0,4890.0,7160.0,133.0,267.0,621.0,13.0
2118,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,7,Red,jng,Elramir,Team AURORA Academy,Gragas,Akali,Yasuo,LeBlanc,Braum,Leona,2078,0,0,5,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7997,230.9047,0.185886,36,1.0395,16,0.462,17,62.0,1.7902,8695,4180,120.693,0.154771,8560.0,,179.0,49.0,130,111,0,5.1684,2797.0,2594.0,55.0,3357.0,2463.0,37.0,-560.0,131.0,18.0,4273.0,4468.0,92.0,4878.0,4193.0,68.0,-605.0,275.0,24.0
2119,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,8,Red,mid,Kruimel,Team AURORA Academy,Viktor,Akali,Yasuo,LeBlanc,Braum,Leona,2078,0,0,4,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0289,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,18767,541.8768,0.436229,11,0.3176,8,0.231,3,22.0,0.6352,10663,6148,177.5168,0.227635,10360.0,,266.0,238.0,28,21,0,7.6805,2870.0,3798.0,69.0,3781.0,5305.0,81.0,-911.0,-1507.0,-12.0,4543.0,6605.0,117.0,5667.0,8206.0,137.0,-1124.0,-1601.0,-20.0
2120,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,9,Red,bot,Rhioni,Team AURORA Academy,Senna,Akali,Yasuo,LeBlanc,Braum,Leona,2078,0,0,2,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7570,218.5756,0.17596099999999998,11,0.3176,13,0.3754,2,36.0,1.0395,11104,6589,190.2502,0.24396199999999998,10930.0,,276.0,259.0,17,10,0,7.9692,3019.0,3159.0,75.0,3257.0,3090.0,85.0,-238.0,69.0,-10.0,4656.0,5030.0,119.0,5397.0,5108.0,139.0,-741.0,-78.0,-20.0
2121,ESPORTSTMNT04/1120447,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120447?gameHash=9358d210749ab778&amp;tab=overview,TRA,2020,,0,2020-02-04 16:41:33,1,10.02,10,Red,sup,Algos,Team AURORA Academy,Tahm Kench,Akali,Yasuo,LeBlanc,Braum,Leona,2078,0,0,4,1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.4909,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3240,93.5515,0.0753121,49,1.4148,2,0.0577,18,61.0,1.7613,6173,1658,47.873,0.061396400000000004,5670.0,,25.0,25.0,0,0,0,0.7218,1990.0,2471.0,12.0,2329.0,2702.0,11.0,-339.0,-231.0,1.0,3066.0,3659.0,21.0,3639.0,4014.0,20.0,-573.0,-355.0,1.0
