,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
8148,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,1,Blue,top,Hanabi,Talon Esports,Gangplank,Zoe,Elise,Sett,Rek'Sai,LeBlanc,2228,1,1,1,5,8,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2154,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21917,590.2244,0.346382,22,0.5925,6,0.1616,9,43.0,1.158,15717,10896,293.4291,0.26924699999999996,15308.0,,360.0,356.0,4,1,0,9.6948,3094.0,4400.0,74.0,3407.0,4529.0,89.0,-313.0,-129.0,-15.0,5035.0,7031.0,124.0,5403.0,8200.0,162.0,-368.0,-1169.0,-38.0
8149,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,2,Blue,jng,River,Talon Esports,Jarvan IV,Zoe,Elise,Sett,Rek'Sai,LeBlanc,2228,1,3,3,4,8,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2154,0.377,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5690,153.2316,0.08992639999999999,40,1.0772,25,0.6732,12,99.0,2.6661,11684,6863,184.8205,0.16959200000000002,10510.0,,191.0,39.0,152,86,0,5.1436,3568.0,3545.0,65.0,2996.0,3086.0,60.0,572.0,459.0,5.0,5288.0,5162.0,95.0,4248.0,4565.0,85.0,1040.0,597.0,10.0
8150,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,3,Blue,mid,Candy,Talon Esports,Rumble,Zoe,Elise,Sett,Rek'Sai,LeBlanc,2228,1,2,0,5,8,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2154,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17273,465.1616,0.272987,20,0.5386,4,0.1077,7,31.0,0.8348,12332,7511,202.2711,0.185604,10720.0,,252.0,212.0,40,31,2,6.7864,3514.0,4670.0,84.0,3358.0,4700.0,92.0,156.0,-30.0,-8.0,5310.0,7260.0,127.0,5105.0,7780.0,142.0,205.0,-520.0,-15.0
8151,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,4,Blue,bot,Unified,Talon Esports,Miss Fortune,Zoe,Elise,Sett,Rek'Sai,LeBlanc,2228,1,2,1,3,8,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15790,425.2244,0.24955,15,0.4039,19,0.5117,5,57.0,1.535,16991,12170,327.7379,0.300728,14295.0,,404.0,366.0,38,37,0,10.8797,3498.0,3243.0,96.0,3094.0,3283.0,82.0,404.0,-40.0,14.0,5720.0,5395.0,151.0,4649.0,4588.0,111.0,1071.0,807.0,40.0
8152,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,5,Blue,sup,Kaiwing,Talon Esports,Braum,Zoe,Elise,Sett,Rek'Sai,LeBlanc,2228,1,0,1,5,8,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2154,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2604,70.1257,0.0411543,55,1.4811,13,0.3501,21,84.0,2.2621,7849,3028,81.544,0.0748289,7525.0,,36.0,36.0,0,0,0,0.9695,2118.0,2515.0,13.0,2104.0,2438.0,15.0,14.0,77.0,-2.0,3659.0,4110.0,23.0,3218.0,3587.0,23.0,441.0,523.0,0.0
8153,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,6,Red,top,Rockky,Nova Esports,Renekton,Aphelios,Ornn,Senna,Quinn,Leona,2228,0,0,1,3,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1616,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12078,325.2603,0.267621,17,0.4578,11,0.2962,5,46.0,1.2388,16159,11338,305.3321,0.28726799999999997,16875.0,,400.0,388.0,12,12,0,10.772,3407.0,4529.0,89.0,3094.0,4400.0,74.0,313.0,129.0,15.0,5403.0,8200.0,162.0,5035.0,7031.0,124.0,368.0,1169.0,38.0
8154,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,7,Red,jng,Ryan,Nova Esports,Gragas,Aphelios,Ornn,Senna,Quinn,Leona,2228,0,2,4,3,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1616,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8756,235.7989,0.19401300000000002,36,0.9695,15,0.4039,16,75.0,2.0197,11057,6236,167.9354,0.158003,10600.0,,201.0,29.0,172,125,8,5.4129,2996.0,3086.0,60.0,3568.0,3545.0,65.0,-572.0,-459.0,-5.0,4248.0,4565.0,85.0,5288.0,5162.0,95.0,-1040.0,-597.0,-10.0
8155,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,8,Red,mid,G4,Nova Esports,Azir,Aphelios,Ornn,Senna,Quinn,Leona,2228,0,2,1,2,6,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1616,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13010,350.3591,0.288272,16,0.4309,28,0.754,4,58.0,1.5619,14841,10020,269.8384,0.253875,14800.0,,355.0,314.0,41,30,4,9.5601,3358.0,4700.0,92.0,3514.0,4670.0,84.0,-156.0,30.0,8.0,5105.0,7780.0,142.0,5310.0,7260.0,127.0,-205.0,520.0,15.0
8156,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,9,Red,bot,MixcrosS,Nova Esports,Jhin,Aphelios,Ornn,Senna,Quinn,Leona,2228,0,1,0,3,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1616,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7491,201.7325,0.165983,20,0.5386,11,0.2962,8,51.0,1.3734,13129,8308,223.7343,0.210499,13250.0,,296.0,274.0,22,18,0,7.9713,3094.0,3283.0,82.0,3498.0,3243.0,96.0,-404.0,40.0,-14.0,4649.0,4588.0,111.0,5720.0,5395.0,151.0,-1071.0,-807.0,-40.0
8157,ESPORTSTMNT02/1287073,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287073?gameHash=ab1be478e0c38316,PCS,2020,Spring,0,2020-02-29 14:42:15,1,10.03,10,Red,sup,PoP,Nova Esports,Nautilus,Aphelios,Ornn,Senna,Quinn,Leona,2228,0,1,2,5,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1616,0.377,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3796,102.2262,0.0841107,59,1.5889,18,0.4847,24,91.0,2.4506,8387,3566,96.0323,0.09035560000000001,8100.0,,41.0,41.0,0,0,0,1.1041,2104.0,2438.0,15.0,2118.0,2515.0,13.0,-14.0,-77.0,2.0,3218.0,3587.0,23.0,3659.0,4110.0,23.0,-441.0,-523.0,0.0
