,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1812,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,1,Blue,top,Armut,Papara SuperMassive,Sett,Sylas,Aatrox,Elise,Viktor,Akali,1620,0,1,3,5,8,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2963,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10178,376.963,0.272744,12,0.4444,3,0.1111,3,20.0,0.7407,8507,4927,182.4815,0.213448,8275.0,,175.0,155.0,20,7,0,6.4815,2996.0,3979.0,66.0,3347.0,4406.0,70.0,-351.0,-427.0,-4.0,4385.0,6302.0,105.0,5339.0,6757.0,116.0,-954.0,-455.0,-11.0
1813,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,2,Blue,jng,Stomaged,Papara SuperMassive,Olaf,Sylas,Aatrox,Elise,Viktor,Akali,1620,0,2,4,3,8,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2963,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6932,256.7407,0.18575999999999998,8,0.2963,6,0.2222,10,22.0,0.8148,7492,3912,144.8889,0.169473,7000.0,,111.0,15.0,96,71,8,4.1111,3276.0,2893.0,57.0,3376.0,2963.0,53.0,-100.0,-70.0,4.0,4674.0,4590.0,88.0,5207.0,4345.0,84.0,-533.0,245.0,4.0
1814,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,3,Blue,mid,Bolulu,Papara SuperMassive,Nautilus,Sylas,Aatrox,Elise,Viktor,Akali,1620,0,2,6,4,8,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2963,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7564,280.1481,0.20269600000000002,9,0.3333,7,0.2593,5,24.0,0.8889,8220,4640,171.8519,0.201014,8137.0,,152.0,144.0,8,8,0,5.6296,3139.0,4119.0,74.0,3553.0,5066.0,89.0,-414.0,-947.0,-15.0,4212.0,5390.0,99.0,5852.0,7845.0,142.0,-1640.0,-2455.0,-43.0
1815,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,4,Blue,bot,Zeitnot,Papara SuperMassive,Miss Fortune,Sylas,Aatrox,Elise,Viktor,Akali,1620,0,2,4,2,8,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2963,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9470,350.7407,0.253772,11,0.4074,9,0.3333,5,22.0,0.8148,11034,7454,276.0741,0.322932,10725.0,,301.0,266.0,35,35,0,11.1481,3480.0,2885.0,84.0,4468.0,3441.0,64.0,-988.0,-556.0,20.0,5510.0,5288.0,151.0,7263.0,5321.0,117.0,-1753.0,-33.0,34.0
1816,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,5,Blue,sup,Dumbledoge,Papara SuperMassive,Leona,Sylas,Aatrox,Elise,Viktor,Akali,1620,0,1,4,4,8,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2963,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3173,117.5185,0.0850283,29,1.0741,7,0.2593,11,51.0,1.8889,5730,2150,79.6296,0.09313289999999999,5425.0,,28.0,28.0,0,0,0,1.037,2062.0,2197.0,12.0,2389.0,2627.0,12.0,-327.0,-430.0,0.0,3271.0,3606.0,24.0,3835.0,3724.0,18.0,-564.0,-118.0,6.0
1817,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,6,Red,top,Madly,Team AURORA,Mordekaiser,Pantheon,Rumble,Senna,Vel'Koz,Zoe,1620,1,7,2,7,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7778,1.0741,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17983,666.037,0.339885,9,0.3333,4,0.1481,5,23.0,0.8519,11724,8144,301.6296,0.237769,9675.0,,190.0,171.0,19,13,0,7.037,3347.0,4406.0,70.0,2996.0,3979.0,66.0,351.0,427.0,4.0,5339.0,6757.0,116.0,4385.0,6302.0,105.0,954.0,455.0,11.0
1818,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,7,Red,jng,Elramir,Team AURORA,Jarvan IV,Pantheon,Rumble,Senna,Vel'Koz,Zoe,1620,1,2,2,17,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6136,227.2593,0.115973,30,1.1111,18,0.6667,10,80.0,2.963,9475,5895,218.3333,0.172105,8650.0,,129.0,30.0,99,61,0,4.7778,3376.0,2963.0,53.0,3276.0,2893.0,57.0,100.0,70.0,-4.0,5207.0,4345.0,84.0,4674.0,4590.0,88.0,533.0,-245.0,-4.0
1819,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,8,Red,mid,Kruimel,Team AURORA,Ziggs,Pantheon,Rumble,Senna,Vel'Koz,Zoe,1620,1,5,2,12,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15766,583.9259,0.297983,11,0.4074,4,0.1481,4,29.0,1.0741,11820,8240,305.1852,0.24057199999999998,9700.0,,223.0,195.0,28,20,4,8.2593,3553.0,5066.0,89.0,3139.0,4119.0,74.0,414.0,947.0,15.0,5852.0,7845.0,142.0,4212.0,5390.0,99.0,1640.0,2455.0,43.0
1820,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,9,Red,bot,Rhioni,Team AURORA,Varus,Pantheon,Rumble,Senna,Vel'Koz,Zoe,1620,1,6,2,8,21,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9355,346.4815,0.176813,9,0.3333,9,0.3333,2,30.0,1.1111,11831,8251,305.5926,0.240893,10800.0,,195.0,177.0,18,13,0,7.2222,4468.0,3441.0,64.0,3480.0,2885.0,84.0,988.0,556.0,-20.0,7263.0,5321.0,117.0,5510.0,5288.0,151.0,1753.0,33.0,-34.0
1821,ESPORTSTMNT04/1130264,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130264?gameHash=a98718c088ce663c,TCL,2020,Winter,0,2020-02-02 13:47:41,1,10.02,10,Red,sup,Algos,Team AURORA,Thresh,Pantheon,Rumble,Senna,Vel'Koz,Zoe,1620,1,1,1,14,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,1.0741,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3669,135.8889,0.0693455,31,1.1481,5,0.1852,11,62.0,2.2963,7302,3722,137.8519,0.10865999999999999,6625.0,,25.0,25.0,0,0,0,0.9259,2389.0,2627.0,12.0,2062.0,2197.0,12.0,327.0,430.0,0.0,3835.0,3724.0,18.0,3271.0,3606.0,24.0,564.0,118.0,-6.0
