,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
4704,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,1,Blue,top,TH,EVOS Esports,Sett,Olaf,Elise,Aphelios,Lee Sin,Rek'Sai,3134,0,5,5,14,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,37214,712.4569,0.2559,28,0.5361,9,0.1723,11,46.0,0.8807,18361,11692,223.8417,0.20910700000000002,16783.0,,321.0,293.0,28,10,0,6.1455,3124.0,4761.0,83.0,3037.0,4501.0,73.0,87.0,260.0,10.0,5408.0,8057.0,147.0,4632.0,7262.0,123.0,776.0,795.0,24.0
4705,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,2,Blue,jng,Sorn,EVOS Esports,Sejuani,Olaf,Elise,Aphelios,Lee Sin,Rek'Sai,3134,0,4,3,16,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23096,442.1698,0.15881800000000001,22,0.4212,16,0.3063,21,67.0,1.2827,16261,9592,183.6375,0.171549,16195.0,,233.0,57.0,176,127,6,4.4608,3132.0,3441.0,68.0,3137.0,3070.0,58.0,-5.0,371.0,10.0,4336.0,4901.0,92.0,4739.0,5171.0,94.0,-403.0,-270.0,-2.0
4706,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,3,Blue,mid,Pake,EVOS Esports,Orianna,Olaf,Elise,Aphelios,Lee Sin,Rek'Sai,3134,0,6,7,18,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,28291,541.6273,0.19454100000000002,40,0.7658,8,0.1532,19,58.0,1.1104,18712,12043,230.5616,0.21538400000000002,17575.0,,338.0,280.0,58,52,0,6.471,3340.0,4797.0,95.0,3546.0,4790.0,80.0,-206.0,7.0,15.0,5362.0,7887.0,158.0,5337.0,7634.0,132.0,25.0,253.0,26.0
4707,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,4,Blue,bot,Divkid,EVOS Esports,Xayah,Olaf,Elise,Aphelios,Lee Sin,Rek'Sai,3134,0,12,6,13,28,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,46671,893.5099,0.320931,26,0.4978,14,0.268,8,77.0,1.4742,23778,17109,327.5495,0.305987,22570.0,,465.0,375.0,90,63,11,8.9024,2899.0,2708.0,67.0,3633.0,3096.0,88.0,-734.0,-388.0,-21.0,4813.0,4989.0,122.0,6586.0,5661.0,156.0,-1773.0,-672.0,-34.0
4708,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,5,Blue,sup,Bie,EVOS Esports,Rakan,Olaf,Elise,Aphelios,Lee Sin,Rek'Sai,3134,0,1,7,21,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10152,194.3586,0.0698097,134,2.5654,26,0.4978,27,203.0,3.8864,12147,5478,104.8756,0.09797230000000001,11175.0,,56.0,56.0,0,0,0,1.0721,1976.0,2647.0,12.0,2373.0,3067.0,15.0,-397.0,-420.0,-3.0,3012.0,3753.0,21.0,3467.0,4548.0,20.0,-455.0,-795.0,1.0
4709,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,6,Red,top,Coated,Team Secret,Akali,Irelia,Cassiopeia,Jarvan IV,Ryze,Gragas,3134,1,5,5,11,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,37006,708.4748,0.223994,22,0.4212,13,0.2489,5,61.0,1.1678,20635,13966,267.3772,0.22841199999999998,19925.0,,365.0,328.0,37,20,0,6.9879,3037.0,4501.0,73.0,3124.0,4761.0,83.0,-87.0,-260.0,-10.0,4632.0,7262.0,123.0,5408.0,8057.0,147.0,-776.0,-795.0,-24.0
4710,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,7,Red,jng,DNK,Team Secret,Qiyana,Irelia,Cassiopeia,Jarvan IV,Ryze,Gragas,3134,1,6,4,17,28,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,41218,789.113,0.249489,12,0.2297,49,0.9381,10,112.0,2.1442,20121,13452,257.5367,0.220005,17825.0,,347.0,128.0,219,128,23,6.6433,3137.0,3070.0,58.0,3132.0,3441.0,68.0,5.0,-371.0,-10.0,4739.0,5171.0,94.0,4336.0,4901.0,92.0,403.0,270.0,2.0
4711,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,8,Red,mid,Hani,Team Secret,Pantheon,Irelia,Cassiopeia,Jarvan IV,Ryze,Gragas,3134,1,5,7,10,28,28,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,29770,569.9426,0.180195,13,0.2489,16,0.3063,8,45.0,0.8615,17972,11303,216.3944,0.184859,16700.0,,312.0,290.0,22,15,0,5.9732,3546.0,4790.0,80.0,3340.0,4797.0,95.0,206.0,-7.0,-15.0,5337.0,7634.0,132.0,5362.0,7887.0,158.0,-25.0,-253.0,-26.0
4712,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,9,Red,bot,Celebrity,Team Secret,Syndra,Irelia,Cassiopeia,Jarvan IV,Ryze,Gragas,3134,1,12,4,7,28,28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,50878,974.0523,0.30796,17,0.3255,13,0.2489,6,51.0,0.9764,23879,17210,329.4831,0.281466,21400.0,,454.0,415.0,39,38,0,8.6918,3633.0,3096.0,88.0,2899.0,2708.0,67.0,734.0,388.0,21.0,6586.0,5661.0,156.0,4813.0,4989.0,122.0,1773.0,672.0,34.0
4713,ESPORTSTMNT01/1306368,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,VCS,2020,Spring,0,2020-02-15 09:42:52,1,10.02,10,Red,sup,Venus,Team Secret,Thresh,Irelia,Cassiopeia,Jarvan IV,Ryze,Gragas,3134,1,0,8,17,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361,1.0721,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6338,121.3401,0.0383633,92,1.7613,32,0.6126,25,171.0,3.2738,11882,5213,99.8022,0.0852581,12225.0,,54.0,54.0,0,0,0,1.0338,2373.0,3067.0,15.0,1976.0,2647.0,12.0,397.0,420.0,3.0,3467.0,4548.0,20.0,3012.0,3753.0,21.0,455.0,795.0,-1.0
