,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
25368,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,1,Blue,top,Nille,Team Singularity,Renekton,Zoe,Gragas,Rumble,Jarvan IV,Elise,1375,0,2,7,1,9,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7881,343.8982,0.194954,13,0.5673,0,0.0,6,17.0,0.7418,7131,4050,176.7273,0.199419,5700.0,,148.0,148.0,0,0,0,6.4582,3209.0,4088.0,72.0,3497.0,5053.0,76.0,-288.0,-965.0,-4.0,4690.0,6246.0,115.0,6928.0,9092.0,137.0,-2238.0,-2846.0,-22.0
25369,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,2,Blue,jng,Skude,Team Singularity,Trundle,Zoe,Gragas,Rumble,Jarvan IV,Elise,1375,0,3,6,4,9,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5090,222.1091,0.125912,10,0.4364,10,0.4364,9,36.0,1.5709,7058,3977,173.5418,0.195825,6345.0,,92.0,12.0,80,63,3,4.0145,3266.0,2702.0,57.0,4707.0,3041.0,46.0,-1441.0,-339.0,11.0,4879.0,3992.0,76.0,6478.0,4951.0,79.0,-1599.0,-959.0,-3.0
25370,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,3,Blue,mid,Kroghsen,Team Singularity,Xerath,Zoe,Gragas,Rumble,Jarvan IV,Elise,1375,0,1,4,3,9,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10446,455.8255,0.258404,9,0.3927,0,0.0,3,15.0,0.6545,7853,4772,208.2327,0.23496599999999998,7625.0,,176.0,171.0,5,5,0,7.68,3098.0,4727.0,82.0,3657.0,4418.0,75.0,-559.0,309.0,7.0,4924.0,7690.0,137.0,5602.0,7189.0,129.0,-678.0,501.0,8.0
25371,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,4,Blue,bot,reje,Team Singularity,Varus,Zoe,Gragas,Rumble,Jarvan IV,Elise,1375,0,3,10,4,9,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3927,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12074,526.8655,0.298677,7,0.3055,11,0.48,2,28.0,1.2218,8789,5708,249.0764,0.28105,8750.0,,171.0,166.0,5,5,0,7.4618,3704.0,3217.0,76.0,3674.0,3598.0,69.0,30.0,-381.0,7.0,5647.0,5066.0,121.0,6527.0,6054.0,120.0,-880.0,-988.0,1.0
25372,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,5,Blue,sup,vayu,Team Singularity,Nautilus,Zoe,Gragas,Rumble,Jarvan IV,Elise,1375,0,0,9,8,9,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4934,215.3018,0.122053,21,0.9164,6,0.2618,10,41.0,1.7891,4883,1802,78.6327,0.0887401,4250.0,,28.0,28.0,0,0,0,1.2218,2415.0,2444.0,13.0,3102.0,2671.0,12.0,-687.0,-227.0,1.0,3293.0,3857.0,21.0,4695.0,3471.0,15.0,-1402.0,386.0,6.0
25373,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,6,Red,top,iBo,K1ck Neosurf,Aatrox,Syndra,Sett,Miss Fortune,Orianna,Vel'Koz,1375,1,6,2,9,36,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5709,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19459,849.12,0.31045500000000004,11,0.48,8,0.3491,6,33.0,1.44,11462,8381,365.7164,0.22104000000000001,10460.0,,185.0,147.0,38,9,20,8.0727,3497.0,5053.0,76.0,3209.0,4088.0,72.0,288.0,965.0,4.0,6928.0,9092.0,137.0,4690.0,6246.0,115.0,2238.0,2846.0,22.0
25374,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,7,Red,jng,Shlatan,K1ck Neosurf,Lee Sin,Syndra,Sett,Miss Fortune,Orianna,Vel'Koz,1375,1,8,2,14,36,9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5709,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10505,458.4,0.1676,16,0.6982,6,0.2618,9,32.0,1.3964,10171,7090,309.3818,0.186993,9200.0,,114.0,17.0,97,41,20,4.9745,4707.0,3041.0,46.0,3266.0,2702.0,57.0,1441.0,339.0,-11.0,6478.0,4951.0,79.0,4879.0,3992.0,76.0,1599.0,959.0,3.0
25375,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,8,Red,mid,Matislaw,K1ck Neosurf,Azir,Syndra,Sett,Miss Fortune,Orianna,Vel'Koz,1375,1,3,0,9,36,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5709,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6425,280.3636,0.102506,9,0.3927,1,0.0436,3,18.0,0.7855,9484,6403,279.4036,0.168875,7825.0,,185.0,173.0,12,12,0,8.0727,3657.0,4418.0,75.0,3098.0,4727.0,82.0,559.0,-309.0,-7.0,5602.0,7189.0,129.0,4924.0,7690.0,137.0,678.0,-501.0,-8.0
25376,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,9,Red,bot,Puki Style,K1ck Neosurf,Aphelios,Syndra,Sett,Miss Fortune,Orianna,Vel'Koz,1375,1,14,2,11,36,9,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5709,1.9636,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19348,844.2764,0.308684,12,0.5236,2,0.0873,6,15.0,0.6545,13802,10721,467.8255,0.282752,11950.0,,213.0,189.0,24,17,0,9.2945,3674.0,3598.0,69.0,3704.0,3217.0,76.0,-30.0,381.0,-7.0,6527.0,6054.0,120.0,5647.0,5066.0,121.0,880.0,988.0,-1.0
25377,ESPORTSTMNT06/1180914,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180914?gameHash=3ea79bbfd08649a3&amp;tab=overview,EM,2020,Spring,0,2020-04-22 16:33:49,1,10.07,10,Red,sup,Raxxo,K1ck Neosurf,Thresh,Syndra,Sett,Miss Fortune,Orianna,Vel'Koz,1375,1,5,3,21,36,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5709,1.9636,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6942,302.9236,0.11075499999999999,26,1.1345,5,0.2182,10,44.0,1.92,8402,5321,232.1891,0.14034000000000002,7250.0,,21.0,21.0,0,0,0,0.9164,3102.0,2671.0,12.0,2415.0,2444.0,13.0,687.0,227.0,-1.0,4695.0,3471.0,15.0,3293.0,3857.0,21.0,1402.0,-386.0,-6.0
