,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
984,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,1,Blue,top,Broken Blade,Team SoloMid,Rumble,Irelia,Mordekaiser,Cassiopeia,Aphelios,Pantheon,3680,0,3,2,2,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25586,417.163,0.22285700000000003,41,0.6685,4,0.0652,18,46.0,0.75,18780,10997,179.2989,0.21389499999999997,17000.0,,385.0,359.0,26,22,0,6.2772,3063.0,4801.0,76.0,2958.0,4704.0,72.0,105.0,97.0,4.0,4660.0,7010.0,113.0,4563.0,6977.0,114.0,97.0,33.0,-1.0
985,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,2,Blue,jng,Dardoch,Team SoloMid,Lee Sin,Irelia,Mordekaiser,Cassiopeia,Aphelios,Pantheon,3680,0,0,5,5,9,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7156,116.6739,0.06232959999999999,38,0.6196,32,0.5217,18,98.0,1.5978,14701,6918,112.7935,0.13455899999999998,14025.0,,253.0,52.0,201,121,22,4.125,2732.0,2483.0,53.0,2724.0,2467.0,48.0,8.0,16.0,5.0,4528.0,3972.0,79.0,3958.0,4176.0,77.0,570.0,-204.0,2.0
986,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,3,Blue,mid,Bjergsen,Team SoloMid,LeBlanc,Irelia,Mordekaiser,Cassiopeia,Aphelios,Pantheon,3680,0,2,1,5,9,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,31657,516.1467,0.27573600000000004,14,0.2283,20,0.3261,11,69.0,1.125,20179,12396,202.1087,0.241106,20175.0,,448.0,391.0,57,40,11,7.3043,3143.0,4432.0,86.0,3145.0,4416.0,82.0,-2.0,16.0,4.0,5005.0,7022.0,136.0,4881.0,7012.0,132.0,124.0,10.0,4.0
987,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,4,Blue,bot,Kobbe,Team SoloMid,Senna,Irelia,Mordekaiser,Cassiopeia,Aphelios,Pantheon,3680,0,4,0,4,9,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,44461,724.9076,0.387261,21,0.3424,20,0.3261,5,59.0,0.962,24862,17079,278.462,0.33219,22608.0,,516.0,465.0,51,42,1,8.413,3357.0,3002.0,91.0,3076.0,2820.0,76.0,281.0,182.0,15.0,6362.0,5360.0,147.0,4710.0,4422.0,121.0,1652.0,938.0,26.0
988,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,5,Blue,sup,Biofrost,Team SoloMid,Tahm Kench,Irelia,Mordekaiser,Cassiopeia,Aphelios,Pantheon,3680,0,0,1,4,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5949,96.9946,0.051816499999999995,104,1.6957,29,0.4728,35,161.0,2.625,11806,4023,65.5924,0.0782511,10375.0,,61.0,57.0,4,0,0,0.9946,2113.0,2883.0,14.0,2101.0,2279.0,12.0,12.0,604.0,2.0,3610.0,3877.0,21.0,3188.0,3700.0,21.0,422.0,177.0,0.0
989,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,6,Red,top,sOAZ,Immortals,Aatrox,Akali,Qiyana,Lucian,Olaf,Camille,3680,1,2,2,3,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16721,272.625,0.131986,39,0.6359,25,0.4076,16,108.0,1.7609,20772,12989,211.7772,0.22533499999999998,19900.0,,369.0,352.0,17,1,1,6.0163,2958.0,4704.0,72.0,3063.0,4801.0,76.0,-105.0,-97.0,-4.0,4563.0,6977.0,114.0,4660.0,7010.0,113.0,-97.0,-33.0,1.0
990,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,7,Red,jng,Xmithie,Immortals,Elise,Akali,Qiyana,Lucian,Olaf,Camille,3680,1,2,3,3,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18206,296.837,0.143707,67,1.0924,23,0.375,19,136.0,2.2174,17188,9405,153.3424,0.16316,15075.0,,254.0,58.0,196,126,19,4.1413,2724.0,2467.0,48.0,2732.0,2483.0,53.0,-8.0,-16.0,-5.0,3958.0,4176.0,77.0,4528.0,3972.0,79.0,-570.0,204.0,-2.0
991,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,8,Red,mid,Eika,Immortals,Zoe,Akali,Qiyana,Lucian,Olaf,Camille,3680,1,1,1,2,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,31693,516.7337,0.250166,26,0.4239,8,0.1304,8,74.0,1.2065,20249,12466,203.25,0.21626199999999998,18200.0,,410.0,382.0,28,28,0,6.6848,3145.0,4416.0,82.0,3143.0,4432.0,86.0,2.0,-16.0,-4.0,4881.0,7012.0,132.0,5005.0,7022.0,136.0,-124.0,-10.0,-4.0
992,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,9,Red,bot,Altec,Immortals,Ezreal,Akali,Qiyana,Lucian,Olaf,Camille,3680,1,4,0,2,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,49118,800.837,0.387708,26,0.4239,24,0.3913,5,69.0,1.125,24942,17159,279.7663,0.297675,23668.0,,556.0,487.0,69,42,10,9.0652,3076.0,2820.0,76.0,3357.0,3002.0,91.0,-281.0,-182.0,-15.0,4710.0,4422.0,121.0,6362.0,5360.0,147.0,-1652.0,-938.0,-26.0
993,ESPORTSTMNT02/1270857,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270857?gameHash=33123e45a2046e53&amp;tab=overview,LCS,2020,Spring,0,2020-01-26 20:35:10,1,10.01,10,Red,sup,Hakuho,Immortals,Braum,Akali,Qiyana,Lucian,Olaf,Camille,3680,1,0,3,8,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,0.2935,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10950,178.5326,0.0864328,108,1.7609,22,0.3587,29,191.0,3.1141,13407,5624,91.6957,0.0975678,11650.0,,43.0,43.0,0,0,0,0.7011,2101.0,2279.0,12.0,2113.0,2883.0,14.0,-12.0,-604.0,-2.0,3188.0,3700.0,21.0,3610.0,3877.0,21.0,-422.0,-177.0,0.0
