,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
408,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,1,Blue,top,Zoom,JD Gaming,Sett,Elise,Lucian,Rumble,Thresh,Irelia,1653,1,2,1,12,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,14442,524.2105,0.25986,17,0.6171,9,0.3267,8,40.0,1.4519,11651,8003,290.49,0.220255,9800.0,,235.0,211.0,24,9,1,8.5299,3349.0,4592.0,83.0,3130.0,4467.0,80.0,219.0,125.0,3.0,6055.0,8063.0,152.0,4567.0,7024.0,123.0,1488.0,1039.0,29.0
409,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,2,Blue,jng,Kanavi,JD Gaming,Nidalee,Elise,Lucian,Rumble,Thresh,Irelia,1653,1,2,0,11,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,8925,323.9564,0.160591,32,1.1615,17,0.6171,8,78.0,2.8312,11264,7616,276.4428,0.209605,9650.0,,209.0,28.0,181,114,24,7.5862,3592.0,4064.0,82.0,3136.0,3182.0,67.0,456.0,882.0,15.0,5561.0,5747.0,112.0,4698.0,5153.0,106.0,863.0,594.0,6.0
410,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,3,Blue,mid,Yagao,JD Gaming,Qiyana,Elise,Lucian,Rumble,Thresh,Irelia,1653,1,3,2,10,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,13792,500.6171,0.248165,32,1.1615,22,0.7985,7,83.0,3.0127,10317,6669,242.069,0.183543,8875.0,,209.0,200.0,9,1,1,7.5862,3421.0,4449.0,90.0,3315.0,5017.0,88.0,106.0,-568.0,2.0,5419.0,6817.0,135.0,4792.0,7755.0,132.0,627.0,-938.0,3.0
411,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,4,Blue,bot,LokeN,JD Gaming,Varus,Elise,Lucian,Rumble,Thresh,Irelia,1653,1,9,0,6,18,5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,15253,553.6479,0.274453,12,0.4356,10,0.363,7,42.0,1.5245,13783,10135,367.8766,0.278929,11725.0,,262.0,246.0,16,16,0,9.51,4215.0,3619.0,90.0,3794.0,3535.0,93.0,421.0,84.0,-3.0,6675.0,6208.0,147.0,5401.0,5318.0,133.0,1274.0,890.0,14.0
412,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,5,Blue,sup,LvMao,JD Gaming,Braum,Elise,Lucian,Rumble,Thresh,Irelia,1653,1,2,2,13,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6534,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,3164,114.8457,0.056930999999999995,39,1.4156,5,0.1815,13,59.0,2.1416,7560,3912,141.9964,0.107668,6375.0,,28.0,28.0,0,0,0,1.0163,2073.0,2276.0,12.0,2522.0,2869.0,16.0,-449.0,-593.0,-4.0,3597.0,3873.0,18.0,3615.0,3719.0,30.0,-18.0,154.0,-12.0
413,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,6,Red,top,Morgan,Team WE,Ornn,Gragas,LeBlanc,Akali,Mordekaiser,Taliyah,1653,0,1,6,3,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1815,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,5309,192.7042,0.131888,14,0.5082,1,0.0363,8,20.0,0.726,8327,4679,169.8367,0.20516500000000001,8585.0,,184.0,180.0,4,0,0,6.6788,3130.0,4467.0,80.0,3349.0,4592.0,83.0,-219.0,-125.0,-3.0,4567.0,7024.0,123.0,6055.0,8063.0,152.0,-1488.0,-1039.0,-29.0
414,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,7,Red,jng,beishang,Team WE,Olaf,Gragas,LeBlanc,Akali,Mordekaiser,Taliyah,1653,0,0,4,2,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1815,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,5305,192.559,0.13178800000000002,9,0.3267,15,0.5445,10,31.0,1.1252,7664,4016,145.7713,0.176095,7525.0,,156.0,26.0,130,104,1,5.6624,3136.0,3182.0,67.0,3592.0,4064.0,82.0,-456.0,-882.0,-15.0,4698.0,5153.0,106.0,5561.0,5747.0,112.0,-863.0,-594.0,-6.0
415,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,8,Red,mid,Plex,Team WE,Zoe,Gragas,LeBlanc,Akali,Mordekaiser,Taliyah,1653,0,0,1,5,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1815,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,12497,453.6116,0.310454,11,0.3993,8,0.2904,3,14.0,0.5082,8050,4402,159.7822,0.19302,7060.0,,205.0,201.0,4,4,0,7.441,3315.0,5017.0,88.0,3421.0,4449.0,90.0,-106.0,568.0,-2.0,4792.0,7755.0,132.0,5419.0,6817.0,135.0,-627.0,938.0,-3.0
416,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,9,Red,bot,Jiumeng,Team WE,Aphelios,Gragas,LeBlanc,Akali,Mordekaiser,Taliyah,1653,0,3,4,1,5,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1815,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,15050,546.2795,0.37387600000000004,12,0.4356,13,0.4719,6,34.0,1.2341,10709,7061,256.2976,0.309605,10425.0,,247.0,231.0,16,12,0,8.9655,3794.0,3535.0,93.0,4215.0,3619.0,90.0,-421.0,-84.0,3.0,5401.0,5318.0,133.0,6675.0,6208.0,147.0,-1274.0,-890.0,-14.0
417,5665-7276,complete,https://lpl.qq.com/es/stats.shtml?bmid=5665,LPL,2020,Spring,0,2020-01-18 09:40:00,1,10.1,10,Red,sup,Missing,Team WE,Leona,Gragas,LeBlanc,Akali,Mordekaiser,Taliyah,1653,0,1,3,3,5,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1815,0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,2093,75.971,0.0519948,54,1.9601,22,0.7985,12,79.0,2.8675,6296,2648,96.1162,0.11611500000000001,6100.0,,47.0,47.0,0,0,0,1.706,2522.0,2869.0,16.0,2073.0,2276.0,12.0,449.0,593.0,4.0,3615.0,3719.0,30.0,3597.0,3873.0,18.0,18.0,-154.0,12.0
