,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2040,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,1,Blue,top,JackPoT,Santos e-Sports,Fiora,Rakan,Rumble,Sett,Leona,Nautilus,1570,1,3,4,2,17,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10160,388.2803,0.204311,11,0.4204,1,0.0382,5,25.0,0.9554,10695,7217,275.8089,0.215376,9308.0,,206.0,196.0,10,7,1,7.8726,2942.0,4280.0,71.0,3116.0,4712.0,76.0,-174.0,-432.0,-5.0,4362.0,6177.0,105.0,5992.0,8169.0,136.0,-1630.0,-1992.0,-31.0
2041,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,2,Blue,jng,Hyoga,Santos e-Sports,Jarvan IV,Rakan,Rumble,Sett,Leona,Nautilus,1570,1,1,2,13,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4224,161.4268,0.0849421,31,1.1847,13,0.4968,11,62.0,2.3694,8794,5316,203.1592,0.158641,7875.0,,124.0,22.0,102,44,8,4.7389,2882.0,2953.0,61.0,3635.0,3396.0,63.0,-753.0,-443.0,-2.0,4835.0,4753.0,77.0,5416.0,5517.0,105.0,-581.0,-764.0,-28.0
2042,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,3,Blue,mid,Rainbow,Santos e-Sports,Viktor,Rakan,Rumble,Sett,Leona,Nautilus,1570,1,11,0,3,17,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20786,794.3694,0.417994,15,0.5732,3,0.1146,7,32.0,1.2229,13619,10141,387.5541,0.302641,12925.0,,241.0,229.0,12,12,0,9.2102,3840.0,5075.0,95.0,3107.0,4569.0,77.0,733.0,506.0,18.0,7321.0,8599.0,162.0,4801.0,6782.0,112.0,2520.0,1817.0,50.0
2043,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,4,Blue,bot,Sarkis,Santos e-Sports,Miss Fortune,Rakan,Rumble,Sett,Leona,Nautilus,1570,1,2,0,5,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497,0.9554,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10946,418.3185,0.220117,10,0.3822,12,0.4586,3,25.0,0.9554,10794,7316,279.5924,0.218331,9975.0,,224.0,208.0,16,12,0,8.5605,3405.0,3501.0,91.0,3695.0,3762.0,88.0,-290.0,-261.0,3.0,5791.0,5555.0,136.0,5552.0,6167.0,134.0,239.0,-612.0,2.0
2044,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,5,Blue,sup,Hawk,Santos e-Sports,Braum,Rakan,Rumble,Sett,Leona,Nautilus,1570,1,0,2,11,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6497,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3612,138.0382,0.07263510000000001,33,1.2611,11,0.4204,13,56.0,2.1401,6997,3519,134.4841,0.105011,5575.0,,32.0,32.0,0,0,0,1.2229,2034.0,2204.0,12.0,2559.0,2525.0,14.0,-525.0,-321.0,-2.0,3834.0,3858.0,24.0,3667.0,4115.0,21.0,167.0,-257.0,3.0
2045,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,6,Red,top,SkyBart,Team oNe eSports,Aatrox,Akali,Olaf,Qiyana,Irelia,Camille,1570,0,2,3,3,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3057,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6204,237.0955,0.169596,8,0.3057,5,0.1911,2,22.0,0.8408,8989,5511,210.6115,0.239155,8050.0,,190.0,175.0,15,13,0,7.2611,3116.0,4712.0,76.0,2942.0,4280.0,71.0,174.0,432.0,5.0,5992.0,8169.0,136.0,4362.0,6177.0,105.0,1630.0,1992.0,31.0
2046,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,7,Red,jng,Ryuzaki,Team oNe eSports,Gragas,Akali,Olaf,Qiyana,Irelia,Camille,1570,0,2,5,3,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3057,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9459,361.4904,0.258577,12,0.4586,4,0.1529,9,32.0,1.2229,7879,4401,168.1911,0.19098199999999999,7425.0,,140.0,18.0,122,69,29,5.3503,3635.0,3396.0,63.0,2882.0,2953.0,61.0,753.0,443.0,2.0,5416.0,5517.0,105.0,4835.0,4753.0,77.0,581.0,764.0,28.0
2047,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,8,Red,mid,Brucer,Team oNe eSports,LeBlanc,Akali,Olaf,Qiyana,Irelia,Camille,1570,0,3,2,0,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3057,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9922,379.1847,0.27123400000000003,19,0.7261,8,0.3057,5,34.0,1.2994,8335,4857,185.6178,0.210772,8175.0,,188.0,180.0,8,8,0,7.1847,3107.0,4569.0,77.0,3840.0,5075.0,95.0,-733.0,-506.0,-18.0,4801.0,6782.0,112.0,7321.0,8599.0,162.0,-2520.0,-1817.0,-50.0
2048,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,9,Red,bot,pbO,Team oNe eSports,Xayah,Akali,Olaf,Qiyana,Irelia,Camille,1570,0,0,3,5,8,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3057,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7907,302.1783,0.21615,13,0.4968,6,0.2293,6,26.0,0.9936,9434,5956,227.6178,0.258467,9450.0,,237.0,209.0,28,28,0,9.0573,3695.0,3762.0,88.0,3405.0,3501.0,91.0,290.0,261.0,-3.0,5552.0,6167.0,134.0,5791.0,5555.0,136.0,-239.0,612.0,-2.0
2049,ESPORTSTMNT01/1292348,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1292348?gameHash=c6a4eec48810e8d5&amp;tab=overview,BRCC,2020,,0,2020-02-04 01:15:51,1,10.02,10,Red,sup,Hanabi,Team oNe eSports,Blitzcrank,Akali,Olaf,Qiyana,Irelia,Camille,1570,0,1,4,3,8,17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3057,0.9554,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3089,118.051,0.0844427,42,1.6051,9,0.3439,19,60.0,2.293,5797,2319,88.6242,0.100625,5675.0,,39.0,39.0,0,0,0,1.4904,2559.0,2525.0,14.0,2034.0,2204.0,12.0,525.0,321.0,2.0,3667.0,4115.0,21.0,3834.0,3858.0,24.0,-167.0,257.0,-3.0
