,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
384,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,1,Blue,top,Flandre,LNG Esports,Sett,Elise,Gangplank,Qiyana,Leona,Mordekaiser,1961,0,4,5,4,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.306,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,16962,518.9801,0.321384,10,0.306,6,0.1836,6,34.0,1.0403,13641,9365,286.5375,0.29646500000000003,12550.0,,252.0,240.0,12,5,0,7.7104,3122.0,4762.0,79.0,3719.0,4922.0,84.0,-597.0,-160.0,-5.0,5731.0,8020.0,141.0,5819.0,7934.0,141.0,-88.0,86.0,0.0
385,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,2,Blue,jng,Xx,LNG Esports,Rek'Sai,Elise,Gangplank,Qiyana,Leona,Mordekaiser,1961,0,2,4,4,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,3766,115.2269,0.07135549999999999,29,0.8873,15,0.4589,12,59.0,1.8052,9110,4834,147.9041,0.153028,8375.0,,149.0,21.0,128,92,0,4.5589,2876.0,2690.0,56.0,3330.0,3314.0,69.0,-454.0,-624.0,-13.0,4429.0,4588.0,90.0,4929.0,5099.0,102.0,-500.0,-511.0,-12.0
386,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,3,Blue,mid,Maple,LNG Esports,Rumble,Elise,Gangplank,Qiyana,Leona,Mordekaiser,1961,0,1,3,4,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,15261,466.9352,0.289155,15,0.4589,6,0.1836,7,28.0,0.8567,10939,6663,203.8654,0.21092800000000003,10995.0,,250.0,242.0,8,4,0,7.6492,3401.0,5030.0,93.0,3489.0,5099.0,101.0,-88.0,-69.0,-8.0,5072.0,7322.0,138.0,5405.0,8197.0,160.0,-333.0,-875.0,-22.0
387,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,4,Blue,bot,Asura,LNG Esports,Aphelios,Elise,Gangplank,Qiyana,Leona,Mordekaiser,1961,0,2,2,5,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,12799,391.6063,0.242506,16,0.4895,9,0.2754,5,40.0,1.2239,12463,8187,250.4946,0.259173,12575.0,,310.0,275.0,35,35,0,9.485,3326.0,2907.0,90.0,3042.0,2762.0,78.0,284.0,145.0,12.0,5373.0,5044.0,142.0,4844.0,4716.0,130.0,529.0,328.0,12.0
388,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,5,Blue,sup,Duan,LNG Esports,Thresh,Elise,Gangplank,Qiyana,Leona,Mordekaiser,1961,0,1,5,7,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,3990,122.0806,0.07559969999999999,49,1.4992,16,0.4895,15,79.0,2.4171,6816,2540,77.7155,0.080407,6825.0,,38.0,38.0,0,0,0,1.1627,2069.0,2945.0,13.0,1941.0,2656.0,11.0,128.0,289.0,2.0,3155.0,4040.0,21.0,3008.0,4402.0,21.0,147.0,-362.0,0.0
389,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,6,Red,top,369,Top Esports,Vladimir,Akali,Jarvan IV,Olaf,Braum,Ornn,1961,1,6,2,8,19,10,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5813,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,31371,959.847,0.412803,12,0.3672,4,0.1224,7,24.0,0.7343,15681,11405,348.9546,0.283186,12575.0,,316.0,283.0,33,18,5,9.6685,3719.0,4922.0,84.0,3122.0,4762.0,79.0,597.0,160.0,5.0,5819.0,7934.0,141.0,5731.0,8020.0,141.0,88.0,-86.0,0.0
390,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,7,Red,jng,Karsa,Top Esports,Gragas,Akali,Jarvan IV,Olaf,Braum,Ornn,1961,1,4,2,6,19,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5813,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,13263,405.8032,0.174525,26,0.7955,7,0.2142,11,58.0,1.7746,10944,6668,204.0184,0.16556600000000002,9275.0,,173.0,16.0,157,112,3,5.2932,3330.0,3314.0,69.0,2876.0,2690.0,56.0,454.0,624.0,13.0,4929.0,5099.0,102.0,4429.0,4588.0,90.0,500.0,511.0,12.0
391,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,8,Red,mid,knight,Top Esports,Lucian,Akali,Jarvan IV,Olaf,Braum,Ornn,1961,1,6,1,5,19,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,17364,531.28,0.228489,16,0.4895,12,0.3672,5,48.0,1.4686,14815,10539,322.4579,0.261683,14925.0,,313.0,273.0,40,31,0,9.5767,3489.0,5099.0,101.0,3401.0,5030.0,93.0,88.0,69.0,8.0,5405.0,8197.0,160.0,5072.0,7322.0,138.0,333.0,875.0,22.0
392,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,9,Red,bot,Photic,Top Esports,Miss Fortune,Akali,Jarvan IV,Olaf,Braum,Ornn,1961,1,2,1,9,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,9756,298.5008,0.128377,18,0.5507,28,0.8567,9,63.0,1.9276,12854,8578,262.4579,0.21299099999999999,13105.0,,285.0,260.0,25,17,4,8.72,3042.0,2762.0,78.0,3326.0,2907.0,90.0,-284.0,-145.0,-12.0,4844.0,4716.0,130.0,5373.0,5044.0,142.0,-529.0,-328.0,-12.0
393,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,10,Red,sup,QiuQiu,Top Esports,Nautilus,Akali,Jarvan IV,Olaf,Braum,Ornn,1961,1,1,4,6,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,4241,129.7603,0.055806299999999996,46,1.4074,13,0.3978,17,80.0,2.4477,7360,3084,94.36,0.0765748,7125.0,,36.0,36.0,0,0,0,1.1015,1941.0,2656.0,11.0,2069.0,2945.0,13.0,-128.0,-289.0,-2.0,3008.0,4402.0,21.0,3155.0,4040.0,21.0,-147.0,362.0,0.0
394,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,100,Blue,team,,LNG Esports,,Elise,Gangplank,Qiyana,Leona,Mordekaiser,1961,0,10,19,24,10,19,0.0,0.0,0.0,0.0,0.0,,,,0.306,0.8873,0.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,52778,1614.8292,,119,3.641,52,1.591,45,240.0,7.3432,52969,31589,966.5171,,51320.0,-0.10496199999999999,,,183,136,0,,14794.0,18334.0,331.0,15521.0,18753.0,343.0,-727.0,-419.0,-12.0,23760.0,29014.0,532.0,24005.0,30348.0,554.0,-245.0,-1334.0,-22.0
395,5664-7277,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 12:22:00,1,10.1,200,Red,team,,Top Esports,,Akali,Jarvan IV,Olaf,Braum,Ornn,1961,1,19,10,34,19,10,2.0,0.0,0.0,0.0,1.0,,,,0.5813,0.8873,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,75995,2325.1912,,118,3.6104,64,1.9582,49,273.0,8.3529,61654,40274,1232.2489,,57005.0,0.10496199999999999,,,255,178,12,,15521.0,18753.0,343.0,14794.0,18334.0,331.0,727.0,419.0,12.0,24005.0,30348.0,554.0,23760.0,29014.0,532.0,245.0,1334.0,22.0
396,5664-7271,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 13:16:00,2,10.1,1,Blue,top,369,Top Esports,Mordekaiser,Jarvan IV,Gragas,Qiyana,Nautilus,Leona,1830,1,4,0,5,13,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4262,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,14643,480.0984,0.280835,10,0.3279,3,0.0984,1,22.0,0.7213,12444,8435,276.5574,0.239181,11475.0,,260.0,225.0,35,17,4,8.5246,3277.0,4979.0,74.0,3041.0,4377.0,81.0,236.0,602.0,-7.0,5269.0,7878.0,131.0,4669.0,7045.0,133.0,600.0,833.0,-2.0
397,5664-7271,complete,https://lpl.qq.com/es/stats.shtml?bmid=5664,LPL,2020,Spring,0,2020-01-17 13:16:00,2,10.1,2,Blue,jng,Karsa,Top Esports,Lee Sin,Jarvan IV,Gragas,Qiyana,Nautilus,Leona,1830,1,3,0,8,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4262,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,3326,109.0492,0.0637886,19,0.623,12,0.3934,10,50.0,1.6393,10598,6589,216.0328,0.186838,8725.0,,165.0,26.0,139,71,26,5.4098,3211.0,3040.0,53.0,3298.0,2829.0,56.0,-87.0,211.0,-3.0,4465.0,4166.0,73.0,4704.0,5020.0,95.0,-239.0,-854.0,-22.0
