,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
29256,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,1,Blue,top,Azus,UTS Esports,Ornn,Zoe,Miss Fortune,Graves,Fiora,LeBlanc,1827,0,5,1,3,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3941,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9462,310.7389,0.192575,10,0.3284,2,0.0657,1,21.0,0.6897,12066,8063,264.7947,0.273791,10875.0,,234.0,224.0,10,3,1,7.6847,3535.0,4407.0,71.0,3269.0,4354.0,75.0,266.0,53.0,-4.0,5202.0,6719.0,111.0,5706.0,7125.0,122.0,-504.0,-406.0,-11.0
29257,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,2,Blue,jng,Zande,UTS Esports,Ivern,Zoe,Miss Fortune,Graves,Fiora,LeBlanc,1827,0,1,5,7,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3941,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5473,179.7373,0.11138900000000002,8,0.2627,8,0.2627,9,32.0,1.0509,8110,4107,134.8768,0.139465,8535.0,,120.0,27.0,93,89,0,3.9409,2901.0,3260.0,50.0,4027.0,3742.0,59.0,-1126.0,-482.0,-9.0,4304.0,5238.0,86.0,6611.0,6382.0,103.0,-2307.0,-1144.0,-17.0
29258,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,3,Blue,mid,Lansen,UTS Esports,Syndra,Zoe,Miss Fortune,Graves,Fiora,LeBlanc,1827,0,0,7,5,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3941,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13717,450.4762,0.279175,12,0.3941,2,0.0657,5,17.0,0.5583,9318,5315,174.5484,0.180483,8510.0,,229.0,226.0,3,0,3,7.5205,3268.0,4519.0,88.0,3438.0,4492.0,71.0,-170.0,27.0,17.0,4544.0,6106.0,124.0,5572.0,7452.0,114.0,-1028.0,-1346.0,10.0
29259,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,4,Blue,bot,Cadence,UTS Esports,Aphelios,Zoe,Miss Fortune,Graves,Fiora,LeBlanc,1827,0,5,1,4,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3941,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17293,567.9146,0.351956,12,0.3941,7,0.2299,4,26.0,0.8539,13148,9145,300.3284,0.310531,11950.0,,300.0,266.0,34,23,0,9.8522,3412.0,3020.0,82.0,3371.0,3319.0,79.0,41.0,-299.0,3.0,5990.0,5472.0,128.0,5101.0,5364.0,127.0,889.0,108.0,1.0
29260,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,5,Blue,sup,twist,UTS Esports,Thresh,Zoe,Miss Fortune,Graves,Fiora,LeBlanc,1827,0,1,5,7,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3941,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3189,104.7291,0.06490409999999999,46,1.5107,8,0.2627,15,75.0,2.4631,6822,2819,92.578,0.0957305,6625.0,,35.0,35.0,0,0,0,1.1494,2209.0,2720.0,16.0,2084.0,2064.0,10.0,125.0,656.0,6.0,3559.0,4360.0,24.0,3011.0,3067.0,14.0,548.0,1293.0,10.0
29261,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,6,Red,top,MAXIMIZE,Mammoth Academy,Camille,Wukong,Sett,Varus,Jax,Lulu,1827,1,5,4,5,19,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.624,1.0181,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14105,463.2184,0.292344,15,0.4926,5,0.1642,5,34.0,1.1166,14294,10291,337.9639,0.261542,12288.0,,241.0,233.0,8,0,4,7.9146,3269.0,4354.0,75.0,3535.0,4407.0,71.0,-266.0,-53.0,4.0,5706.0,7125.0,122.0,5202.0,6719.0,111.0,504.0,406.0,11.0
29262,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,7,Red,jng,Vengeance,Mammoth Academy,Trundle,Wukong,Sett,Varus,Jax,Lulu,1827,1,4,0,5,19,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.624,1.0181,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5199,170.7389,0.10775599999999999,8,0.2627,8,0.2627,7,44.0,1.445,11942,7939,260.7225,0.201769,10675.0,,173.0,59.0,114,67,8,5.6814,4027.0,3742.0,59.0,2901.0,3260.0,50.0,1126.0,482.0,9.0,6611.0,6382.0,103.0,4304.0,5238.0,86.0,2307.0,1144.0,17.0
29263,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,8,Red,mid,Zytah,Mammoth Academy,Orianna,Wukong,Sett,Varus,Jax,Lulu,1827,1,8,2,3,19,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15807,519.1133,0.32761999999999997,17,0.5583,7,0.2299,8,46.0,1.5107,13849,9846,323.3498,0.250233,13485.0,,260.0,220.0,40,23,11,8.5386,3438.0,4492.0,71.0,3268.0,4519.0,88.0,170.0,-27.0,-17.0,5572.0,7452.0,114.0,4544.0,6106.0,124.0,1028.0,1346.0,-10.0
29264,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,9,Red,bot,Exeden,Mammoth Academy,Kalista,Wukong,Sett,Varus,Jax,Lulu,1827,1,2,3,4,19,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9757,320.4269,0.202226,11,0.3612,4,0.1314,3,31.0,1.0181,11592,7589,249.2282,0.192874,10255.0,,245.0,221.0,24,12,0,8.046,3371.0,3319.0,79.0,3412.0,3020.0,82.0,-41.0,299.0,-3.0,5101.0,5364.0,127.0,5990.0,5472.0,128.0,-889.0,-108.0,-1.0
29265,ESPORTSTMNT03/1380743,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380743?gameHash=2a44c5b83525d644,OCS,2020,,0,2020-05-21 10:58:12,1,10.1,10,Red,sup,Fruitcake,Mammoth Academy,Taric,Wukong,Sett,Varus,Jax,Lulu,1827,1,0,3,11,19,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,1.0181,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3380,111.0016,0.0700547,24,0.7882,11,0.3612,9,50.0,1.642,7685,3682,120.9195,0.093582,7265.0,,37.0,33.0,4,0,0,1.2151,2084.0,2064.0,10.0,2209.0,2720.0,16.0,-125.0,-656.0,-6.0,3011.0,3067.0,14.0,3559.0,4360.0,24.0,-548.0,-1293.0,-10.0
