,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1464,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,1,Blue,top,CHP,V Gaming Adonis,Ornn,Sett,Irelia,Senna,LeBlanc,Aatrox,2088,1,7,4,12,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6322,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23391,672.1552,0.29142199999999996,13,0.3736,5,0.1437,2,36.0,1.0345,13168,8633,248.0747,0.202924,12550.0,,214.0,207.0,7,3,0,6.1494,3230.0,5174.0,74.0,3769.0,5040.0,83.0,-539.0,134.0,-9.0,4866.0,7541.0,112.0,5729.0,7391.0,116.0,-863.0,150.0,-4.0
1465,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,2,Blue,jng,Y1,V Gaming Adonis,Lee Sin,Sett,Irelia,Senna,LeBlanc,Aatrox,2088,1,7,4,10,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6322,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12553,360.7184,0.156394,18,0.5172,7,0.2011,8,37.0,1.0632,13526,8991,258.3621,0.211339,12225.0,,194.0,16.0,178,113,14,5.5747,3352.0,3180.0,60.0,3005.0,2807.0,47.0,347.0,373.0,13.0,5667.0,5465.0,99.0,5463.0,5658.0,77.0,204.0,-193.0,22.0
1466,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,3,Blue,mid,PHT,V Gaming Adonis,Lucian,Sett,Irelia,Senna,LeBlanc,Aatrox,2088,1,5,3,6,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6322,1.2069,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19945,573.1322,0.248489,16,0.4598,15,0.431,4,65.0,1.8678,16116,11581,332.7874,0.27221999999999996,14475.0,,326.0,298.0,28,16,4,9.3678,3379.0,4829.0,89.0,3303.0,4392.0,91.0,76.0,437.0,-2.0,5487.0,7533.0,136.0,5330.0,7331.0,148.0,157.0,202.0,-12.0
1467,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,4,Blue,bot,Vit,V Gaming Adonis,Aphelios,Sett,Irelia,Senna,LeBlanc,Aatrox,2088,1,3,5,9,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6322,1.2069,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19310,554.8851,0.24057800000000001,17,0.4885,13,0.3736,9,42.0,1.2069,14366,9831,282.5,0.231084,14175.0,,297.0,279.0,18,16,1,8.5345,3293.0,3394.0,83.0,3322.0,3700.0,84.0,-29.0,-306.0,-1.0,4625.0,4858.0,121.0,5501.0,6247.0,123.0,-876.0,-1389.0,-2.0
1468,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,5,Blue,sup,Biob,V Gaming Adonis,Braum,Sett,Irelia,Senna,LeBlanc,Aatrox,2088,1,0,4,17,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6322,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5066,145.5747,0.0631159,58,1.6667,8,0.2299,21,85.0,2.4425,8042,3507,100.7759,0.08243260000000001,7350.0,,27.0,27.0,0,0,0,0.7759,1891.0,2260.0,8.0,2075.0,2182.0,12.0,-184.0,78.0,-4.0,2870.0,3386.0,14.0,3234.0,3598.0,17.0,-364.0,-212.0,-3.0
1469,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,6,Red,top,Hasmed,Saigon Buffalo,Mordekaiser,Akali,Yasuo,Gangplank,Vladimir,Ryze,2088,0,9,7,7,20,22,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5747,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30762,883.9655,0.388497,10,0.2874,10,0.2874,4,39.0,1.1207,15931,11396,327.4713,0.298701,14900.0,,277.0,242.0,35,23,1,7.9598,3769.0,5040.0,83.0,3230.0,5174.0,74.0,539.0,-134.0,9.0,5729.0,7391.0,116.0,4866.0,7541.0,112.0,863.0,-150.0,4.0
1470,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,7,Red,jng,Meliodas,Saigon Buffalo,Rek'Sai,Akali,Yasuo,Gangplank,Vladimir,Ryze,2088,0,5,2,5,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9002,258.6782,0.11368699999999998,17,0.4885,10,0.2874,16,46.0,1.3218,10540,6005,172.5575,0.157396,9475.0,,155.0,33.0,122,93,0,4.454,3005.0,2807.0,47.0,3352.0,3180.0,60.0,-347.0,-373.0,-13.0,5463.0,5658.0,77.0,5667.0,5465.0,99.0,-204.0,193.0,-22.0
1471,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,8,Red,mid,Naul,Saigon Buffalo,Orianna,Akali,Yasuo,Gangplank,Vladimir,Ryze,2088,0,1,3,8,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14662,421.3218,0.185168,17,0.4885,6,0.1724,7,39.0,1.1207,12459,7924,227.7011,0.207696,11715.0,,305.0,285.0,20,20,0,8.7644,3303.0,4392.0,91.0,3379.0,4829.0,89.0,-76.0,-437.0,2.0,5330.0,7331.0,148.0,5487.0,7533.0,136.0,-157.0,-202.0,12.0
1472,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,9,Red,bot,Bigkoro,Saigon Buffalo,Miss Fortune,Akali,Yasuo,Gangplank,Vladimir,Ryze,2088,0,5,4,7,20,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,21410,615.2299,0.27039,17,0.4885,13,0.3736,5,58.0,1.6667,14790,10255,294.6839,0.26879400000000003,13925.0,,300.0,264.0,36,27,4,8.6207,3322.0,3700.0,84.0,3293.0,3394.0,83.0,29.0,306.0,1.0,5501.0,6247.0,123.0,4625.0,4858.0,121.0,876.0,1389.0,2.0
1473,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,10,Red,sup,H3,Saigon Buffalo,Leona,Akali,Yasuo,Gangplank,Vladimir,Ryze,2088,0,0,6,6,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747,1.2069,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3346,96.1494,0.0422571,61,1.7529,15,0.431,13,106.0,3.046,7107,2572,73.908,0.0674125,6225.0,,36.0,36.0,0,0,0,1.0345,2075.0,2182.0,12.0,1891.0,2260.0,8.0,184.0,-78.0,4.0,3234.0,3598.0,17.0,2870.0,3386.0,14.0,364.0,212.0,3.0
1474,ESPORTSTMNT02/1271494,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271494?gameHash=bd51798e1358c47f,VCS,2020,Spring,0,2020-02-01 09:45:25,1,10.01,100,Blue,team,,V Gaming Adonis,,Sett,Irelia,Senna,LeBlanc,Aatrox,2088,1,22,20,54,22,20,0.0,0.0,0.0,0.0,0.0,,,,0.6322,1.2069,1.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,0.0,80265,2306.4655,,122,3.5057,48,1.3793,44,265.0,7.6149,65218,42542,1222.4713,,60775.0,0.0775114,,827.0,231,148,19,30.4023,15145.0,18837.0,314.0,15474.0,18121.0,317.0,-329.0,716.0,-3.0,23515.0,28783.0,482.0,25257.0,30225.0,481.0,-1742.0,-1442.0,1.0
