,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
792,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,1,Blue,top,fNb,Prodigy Esports,Kennen,Olaf,Lucian,Renekton,Sylas,Aatrox,1853,1,4,1,11,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16697,540.6476,0.2587,15,0.4857,5,0.1619,6,35.0,1.1333,12511,8455,273.7723,0.239273,11100.0,,231.0,221.0,10,3,0,7.4798,3591.0,4825.0,90.0,2809.0,4337.0,63.0,782.0,488.0,27.0,5783.0,7198.0,127.0,4725.0,6959.0,105.0,1058.0,239.0,22.0
793,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,2,Blue,jng,Yampi,Prodigy Esports,Elise,Olaf,Lucian,Renekton,Sylas,Aatrox,1853,1,1,1,11,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7751,250.9768,0.120092,40,1.2952,20,0.6476,12,91.0,2.9466,9606,5550,179.7086,0.157065,8250.0,,156.0,22.0,134,75,8,5.0513,2566.0,2267.0,47.0,2645.0,2440.0,47.0,-79.0,-173.0,0.0,4164.0,3539.0,75.0,3789.0,3495.0,65.0,375.0,44.0,10.0
794,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,3,Blue,mid,Aloned,Prodigy Esports,Rumble,Olaf,Lucian,Renekton,Sylas,Aatrox,1853,1,4,2,9,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828,0.8419,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11843,383.4754,0.18349300000000002,18,0.5828,3,0.0971,8,30.0,0.9714,11127,7071,228.9584,0.20010799999999998,8985.0,,198.0,190.0,8,8,0,6.4112,3218.0,4538.0,89.0,3116.0,4537.0,79.0,102.0,1.0,10.0,4947.0,6629.0,129.0,4662.0,6119.0,110.0,285.0,510.0,19.0
795,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,4,Blue,bot,Garo,Prodigy Esports,Miss Fortune,Olaf,Lucian,Renekton,Sylas,Aatrox,1853,1,6,0,6,18,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19792,640.8635,0.306653,12,0.3886,9,0.2914,4,37.0,1.1981,14107,10051,325.4506,0.284437,12650.0,,287.0,251.0,36,24,4,9.293,3412.0,2946.0,86.0,3614.0,2750.0,69.0,-202.0,196.0,17.0,4931.0,5051.0,122.0,5371.0,4627.0,111.0,-440.0,424.0,11.0
796,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,5,Blue,sup,Wos,Prodigy Esports,Pantheon,Olaf,Lucian,Renekton,Sylas,Aatrox,1853,1,3,4,9,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5828,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8459,273.9018,0.13106199999999998,43,1.3923,11,0.3562,15,75.0,2.4285,8265,4209,136.2871,0.119117,6725.0,,41.0,39.0,2,0,0,1.3276,2171.0,2880.0,16.0,2326.0,2572.0,14.0,-155.0,308.0,2.0,3138.0,3373.0,19.0,3609.0,3587.0,23.0,-471.0,-214.0,-4.0
797,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,6,Red,top,Robo,Vivo Keyd,Zac,Akali,Qiyana,Taliyah,Camille,Irelia,1853,0,1,4,4,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9720,314.7329,0.21931399999999998,14,0.4533,7,0.2267,5,36.0,1.1657,9045,4989,161.5434,0.194853,9025.0,,183.0,175.0,8,4,0,5.9255,2809.0,4337.0,63.0,3591.0,4825.0,90.0,-782.0,-488.0,-27.0,4725.0,6959.0,105.0,5783.0,7198.0,127.0,-1058.0,-239.0,-22.0
798,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,7,Red,jng,Grell,Vivo Keyd,Lee Sin,Akali,Qiyana,Taliyah,Camille,Irelia,1853,0,2,4,4,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4403,142.5688,0.0993457,8,0.259,6,0.1943,3,19.0,0.6152,8326,4270,138.2623,0.166773,8100.0,,134.0,12.0,122,89,4,4.3389,2645.0,2440.0,47.0,2566.0,2267.0,47.0,79.0,173.0,0.0,3789.0,3495.0,65.0,4164.0,3539.0,75.0,-375.0,-44.0,-10.0
799,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,8,Red,mid,NOsFerus,Vivo Keyd,Ryze,Akali,Qiyana,Taliyah,Camille,Irelia,1853,0,2,3,4,8,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11373,368.2569,0.25661100000000003,14,0.4533,5,0.1619,8,24.0,0.7771,10576,6520,211.1171,0.25464499999999995,9775.0,,229.0,198.0,31,30,0,7.415,3116.0,4537.0,79.0,3218.0,4538.0,89.0,-102.0,-1.0,-10.0,4662.0,6119.0,110.0,4947.0,6629.0,129.0,-285.0,-510.0,-19.0
800,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,9,Red,bot,Klaus,Vivo Keyd,Aphelios,Akali,Qiyana,Taliyah,Camille,Irelia,1853,0,3,2,4,8,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.259,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14799,479.1905,0.333912,14,0.4533,20,0.6476,7,40.0,1.2952,11351,7295,236.2115,0.284912,10925.0,,255.0,228.0,27,19,5,8.2569,3614.0,2750.0,69.0,3412.0,2946.0,86.0,202.0,-196.0,-17.0,5371.0,4627.0,111.0,4931.0,5051.0,122.0,440.0,-424.0,-11.0
801,ESPORTSTMNT03/1301228,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301228?gameHash=94d20f2c8f65ede5,CBLOL,2020,Split 1,0,2020-01-25 17:05:09,1,10.01,10,Red,sup,Professor,Vivo Keyd,Nautilus,Akali,Qiyana,Taliyah,Camille,Irelia,1853,0,0,5,5,8,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.259,0.8419,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4025,130.3292,0.0908168,57,1.8457,15,0.4857,22,93.0,3.0113,6586,2530,81.9212,0.0988182,6200.0,,41.0,41.0,0,0,0,1.3276,2326.0,2572.0,14.0,2171.0,2880.0,16.0,155.0,-308.0,-2.0,3609.0,3587.0,23.0,3138.0,3373.0,19.0,471.0,214.0,4.0
