,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
25404,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,1,Blue,top,Bando,LDLC OL,Gnar,Azir,Varus,Aphelios,Ornn,Maokai,2741,0,2,11,3,17,27,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3721,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,33870,741.4082,0.261256,22,0.4816,7,0.1532,8,40.0,0.8756,13969,8102,177.3513,0.193134,14100.0,,266.0,241.0,25,15,8,5.8227,3077.0,3572.0,59.0,3545.0,3968.0,57.0,-468.0,-396.0,2.0,4800.0,5734.0,94.0,4774.0,5707.0,83.0,26.0,27.0,11.0
25405,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,2,Blue,jng,TynX,LDLC OL,Trundle,Azir,Varus,Aphelios,Ornn,Maokai,2741,0,6,5,10,17,27,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3721,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15105,330.6457,0.11651199999999999,13,0.2846,29,0.6348,14,80.0,1.7512,16058,10191,223.0792,0.24293299999999998,13700.0,,205.0,71.0,134,89,4,4.4874,4317.0,3743.0,61.0,3345.0,2859.0,52.0,972.0,884.0,9.0,6416.0,6110.0,98.0,5020.0,4935.0,83.0,1396.0,1175.0,15.0
25406,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,3,Blue,mid,Vetheo,LDLC OL,Zoe,Azir,Varus,Aphelios,Ornn,Maokai,2741,0,6,4,4,17,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,38653,846.1073,0.29815,19,0.4159,9,0.197,9,84.0,1.8387,15130,9263,202.7654,0.220811,15075.0,,270.0,236.0,34,26,0,5.9103,3438.0,4382.0,79.0,3143.0,4027.0,74.0,295.0,355.0,5.0,5658.0,6655.0,114.0,5096.0,7045.0,128.0,562.0,-390.0,-14.0
25407,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,4,Blue,bot,Hades,LDLC OL,Ziggs,Azir,Varus,Aphelios,Ornn,Maokai,2741,0,2,1,8,17,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,34854,762.9478,0.26884600000000003,17,0.3721,2,0.0438,6,33.0,0.7224,16720,10853,237.5702,0.258714,16470.0,,342.0,303.0,39,31,4,7.4863,3073.0,2979.0,75.0,3187.0,3081.0,86.0,-114.0,-102.0,-11.0,5093.0,4462.0,115.0,5003.0,5591.0,143.0,90.0,-1129.0,-28.0
25408,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,5,Blue,sup,YellOwStaR,LDLC OL,Thresh,Azir,Varus,Aphelios,Ornn,Maokai,2741,0,1,6,8,17,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7161,156.753,0.05523630000000001,71,1.5542,12,0.2627,20,108.0,2.3641,9408,3541,77.5119,0.0844067,8550.0,,42.0,42.0,0,0,0,0.9194,2173.0,2327.0,11.0,2154.0,2569.0,11.0,19.0,-242.0,0.0,3703.0,3589.0,18.0,3044.0,3269.0,16.0,659.0,320.0,2.0
25409,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,6,Red,top,Th3Antonio,Vodafone Giants.Spain,Cho'Gath,Sett,Kalista,Senna,Lee Sin,Aatrox,2741,1,4,8,11,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.591,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13938,305.1003,0.105743,23,0.5035,0,0.0,9,28.0,0.6129,13619,7752,169.6899,0.15848399999999999,12225.0,,215.0,199.0,16,0,0,4.7063,3545.0,3968.0,57.0,3077.0,3572.0,59.0,468.0,396.0,-2.0,4774.0,5707.0,83.0,4800.0,5734.0,94.0,-26.0,-27.0,-11.0
25410,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,7,Red,jng,Lamabear,Vodafone Giants.Spain,Jarvan IV,Sett,Kalista,Senna,Lee Sin,Aatrox,2741,1,5,2,18,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13707,300.0438,0.10399100000000001,13,0.2846,26,0.5691,12,79.0,1.7293,14494,8627,188.8435,0.176374,12950.0,,180.0,47.0,133,97,0,3.9402,3345.0,2859.0,52.0,4317.0,3743.0,61.0,-972.0,-884.0,-9.0,5020.0,4935.0,83.0,6416.0,6110.0,98.0,-1396.0,-1175.0,-15.0
25411,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,8,Red,mid,Pretty,Vodafone Giants.Spain,LeBlanc,Sett,Kalista,Senna,Lee Sin,Aatrox,2741,1,6,1,12,27,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,47053,1029.9818,0.356976,12,0.2627,12,0.2627,6,48.0,1.0507,17147,11280,246.9172,0.23061399999999999,15850.0,,310.0,266.0,44,24,16,6.7858,3143.0,4027.0,74.0,3438.0,4382.0,79.0,-295.0,-355.0,-5.0,5096.0,7045.0,128.0,5658.0,6655.0,114.0,-562.0,390.0,14.0
25412,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,9,Red,bot,Attila,Vodafone Giants.Spain,Miss Fortune,Sett,Kalista,Senna,Lee Sin,Aatrox,2741,1,12,4,5,27,17,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.591,0.9632,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,50107,1096.8333,0.380146,11,0.2408,20,0.4378,2,58.0,1.2696,23621,17754,388.6319,0.362975,20350.0,,502.0,403.0,99,73,10,10.9887,3187.0,3081.0,86.0,3073.0,2979.0,75.0,114.0,102.0,11.0,5003.0,5591.0,143.0,5093.0,4462.0,115.0,-90.0,1129.0,28.0
25413,ESPORTSTMNT06/1180926,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180926?gameHash=3002fe5582e21194&amp;tab=overview,EM,2020,Spring,0,2020-04-22 18:35:26,1,10.07,10,Red,sup,Erdote,Vodafone Giants.Spain,Nautilus,Sett,Kalista,Senna,Lee Sin,Aatrox,2741,1,0,2,12,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.9632,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7005,153.3382,0.0531447,98,2.1452,8,0.1751,29,137.0,2.9989,9367,3500,76.6144,0.07155249999999999,8175.0,,30.0,30.0,0,0,0,0.6567,2154.0,2569.0,11.0,2173.0,2327.0,11.0,-19.0,242.0,0.0,3044.0,3269.0,16.0,3703.0,3589.0,18.0,-659.0,-320.0,-2.0
