,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
25632,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,1,Blue,top,Gabbo,YDN Gamers,Akali,Heimerdinger,Thresh,Senna,Ziggs,Varus,1498,0,1,4,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,14545,582.5768,0.430542,11,0.4406,2,0.0801,5,20.0,0.8011,8015,4683,187.5701,0.22995,8050.0,,187.0,186.0,1,0,0,7.49,3181.0,4643.0,83.0,3426.0,4365.0,73.0,-245.0,278.0,10.0,5046.0,7197.0,128.0,5306.0,7017.0,124.0,-260.0,180.0,4.0
25633,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,2,Blue,jng,Tabasko,YDN Gamers,Gragas,Heimerdinger,Thresh,Senna,Ziggs,Varus,1498,0,1,2,2,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2003,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7540,302.0027,0.223189,13,0.5207,3,0.1202,7,27.0,1.0814,7546,4214,168.785,0.206923,7275.0,,126.0,28.0,98,74,4,5.0467,2782.0,2573.0,49.0,3574.0,3212.0,59.0,-792.0,-639.0,-10.0,4094.0,4425.0,74.0,5433.0,4821.0,79.0,-1339.0,-396.0,-5.0
25634,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,3,Blue,mid,Phantomles,YDN Gamers,Qiyana,Heimerdinger,Thresh,Senna,Ziggs,Varus,1498,0,1,2,1,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4926,197.3031,0.145813,14,0.5607,6,0.2403,3,33.0,1.3218,7866,4534,181.6021,0.22263400000000003,7725.0,,178.0,178.0,0,0,0,7.1295,3111.0,4553.0,79.0,3593.0,5036.0,99.0,-482.0,-483.0,-20.0,4488.0,5663.0,91.0,6124.0,7272.0,143.0,-1636.0,-1609.0,-52.0
25635,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,4,Blue,bot,Endz,YDN Gamers,Kalista,Heimerdinger,Thresh,Senna,Ziggs,Varus,1498,0,0,5,2,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3430,137.3832,0.10153,7,0.2804,4,0.1602,2,18.0,0.721,8213,4881,195.5007,0.239671,8250.0,,210.0,197.0,13,6,0,8.4112,3007.0,2630.0,77.0,3927.0,3522.0,72.0,-920.0,-892.0,5.0,4732.0,4802.0,118.0,7593.0,6625.0,137.0,-2861.0,-1823.0,-19.0
25636,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,5,Blue,sup,Cospect,YDN Gamers,Alistar,Heimerdinger,Thresh,Senna,Ziggs,Varus,1498,0,2,7,2,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3342,133.8585,0.0989255,27,1.0814,3,0.1202,7,42.0,1.6822,5385,2053,82.2296,0.10082200000000001,4725.0,,23.0,23.0,0,0,0,0.9212,1955.0,2311.0,11.0,2619.0,2930.0,13.0,-664.0,-619.0,-2.0,3154.0,2996.0,15.0,4582.0,4496.0,22.0,-1428.0,-1500.0,-7.0
25637,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,6,Red,top,Phones,Team GamerLegion,Renekton,Elise,Nautilus,Sett,Taric,Cassiopeia,1498,1,4,1,3,19,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.761,0.9613,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,10168,407.263,0.190945,8,0.3204,5,0.2003,3,16.0,0.6409,9467,6135,245.7276,0.19258,8975.0,,173.0,165.0,8,4,4,6.9292,3426.0,4365.0,73.0,3181.0,4643.0,83.0,245.0,-278.0,-10.0,5306.0,7017.0,124.0,5046.0,7197.0,128.0,260.0,-180.0,-4.0
25638,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,7,Red,jng,Rabble,Team GamerLegion,Trundle,Elise,Nautilus,Sett,Taric,Cassiopeia,1498,1,4,1,8,19,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.761,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3952,158.2911,0.0742146,5,0.2003,2,0.0801,5,17.0,0.6809,9464,6132,245.6075,0.192486,7670.0,,129.0,8.0,121,57,21,5.1669,3574.0,3212.0,59.0,2782.0,2573.0,49.0,792.0,639.0,10.0,5433.0,4821.0,79.0,4094.0,4425.0,74.0,1339.0,396.0,5.0
25639,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,8,Red,mid,Nite,Team GamerLegion,Lissandra,Elise,Nautilus,Sett,Taric,Cassiopeia,1498,1,1,1,12,19,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.761,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11527,461.6956,0.21646500000000002,15,0.6008,3,0.1202,2,29.0,1.1615,9975,6643,266.0748,0.208525,9375.0,,209.0,204.0,5,4,1,8.3712,3593.0,5036.0,99.0,3111.0,4553.0,79.0,482.0,483.0,20.0,6124.0,7272.0,143.0,4488.0,5663.0,91.0,1636.0,1609.0,52.0
25640,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,9,Red,bot,Hjarnan,Team GamerLegion,Taliyah,Elise,Nautilus,Sett,Taric,Cassiopeia,1498,1,7,1,8,19,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21476,860.1869,0.403298,6,0.2403,3,0.1202,1,26.0,1.0414,12284,8952,358.5581,0.281,11185.0,,211.0,197.0,14,8,4,8.4513,3927.0,3522.0,72.0,3007.0,2630.0,77.0,920.0,892.0,-5.0,7593.0,6625.0,137.0,4732.0,4802.0,118.0,2861.0,1823.0,19.0
25641,ESPORTSTMNT06/1180957,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180957?gameHash=52ac08ad818027ca,EM,2020,Spring,0,2020-04-23 15:57:58,1,10.07,10,Red,sup,Visdom,Team GamerLegion,Poppy,Elise,Nautilus,Sett,Taric,Cassiopeia,1498,1,3,1,9,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,0.9613,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6128,245.4473,0.115078,32,1.2817,4,0.1602,11,54.0,2.1629,7327,3995,160.0134,0.12541,6225.0,,29.0,29.0,0,0,0,1.1615,2619.0,2930.0,13.0,1955.0,2311.0,11.0,664.0,619.0,2.0,4582.0,4496.0,22.0,3154.0,2996.0,15.0,1428.0,1500.0,7.0
