,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22116,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,1,Blue,top,Puzzle,Young Miracles,Kennen,Nocturne,Ekko,Karthus,Sylas,Rek'Sai,1447,0,0,1,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,5070,210.2281,0.18704300000000001,7,0.2903,4,0.1659,1,15.0,0.622,7668,4441,184.1465,0.23168000000000002,7675.0,,180.0,178.0,2,1,0,7.4637,3361.0,4954.0,88.0,3290.0,4832.0,87.0,71.0,122.0,1.0,5445.0,7536.0,131.0,5295.0,7808.0,148.0,150.0,-272.0,-17.0
22117,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,2,Blue,jng,XiaoXuan,Young Miracles,Kindred,Nocturne,Ekko,Karthus,Sylas,Rek'Sai,1447,0,0,4,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,2394,99.2674,0.08831989999999999,9,0.3732,7,0.2903,8,32.0,1.3269,6588,3361,139.3642,0.175332,6525.0,,113.0,11.0,102,80,0,4.6856,2971.0,3122.0,61.0,3467.0,3876.0,66.0,-496.0,-754.0,-5.0,4711.0,4493.0,82.0,5442.0,6550.0,108.0,-731.0,-2057.0,-26.0
22118,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,3,Blue,mid,badboy,Young Miracles,Syndra,Nocturne,Ekko,Karthus,Sylas,Rek'Sai,1447,0,0,4,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,11661,483.5245,0.4302,12,0.4976,0,0.0,5,15.0,0.622,7377,4150,172.0802,0.21649699999999997,6425.0,,192.0,180.0,12,10,0,7.9613,3479.0,4990.0,95.0,3368.0,4886.0,85.0,111.0,104.0,10.0,5222.0,7279.0,142.0,5441.0,7642.0,128.0,-219.0,-363.0,14.0
22119,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,4,Blue,bot,xing,Young Miracles,Aphelios,Nocturne,Ekko,Karthus,Sylas,Rek'Sai,1447,0,0,4,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,6576,272.6745,0.242603,11,0.4561,6,0.2488,5,26.0,1.0781,8540,5313,220.3041,0.27717600000000003,8545.0,,215.0,201.0,14,14,0,8.915,3035.0,2900.0,77.0,3918.0,3269.0,92.0,-883.0,-369.0,-15.0,5430.0,4575.0,128.0,7183.0,5658.0,147.0,-1753.0,-1083.0,-19.0
22120,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,5,Blue,sup,MaRco,Young Miracles,Taric,Nocturne,Ekko,Karthus,Sylas,Rek'Sai,1447,0,0,4,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,1405,58.2585,0.051833500000000005,31,1.2854,3,0.1244,11,42.0,1.7415,5131,1904,78.9496,0.09931439999999998,5025.0,,27.0,27.0,0,0,0,1.1196,2063.0,2284.0,14.0,2256.0,2909.0,0.0,-193.0,-625.0,14.0,3670.0,3914.0,20.0,3922.0,4873.0,1.0,-252.0,-959.0,19.0
22121,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,6,Red,top,melody,Dominus Esports Young,Ornn,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,1447,1,1,0,8,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,3310,137.2495,0.0848566,8,0.3317,3,0.1244,1,16.0,0.6634,9197,5970,247.5466,0.18520699999999998,8675.0,,201.0,183.0,18,13,0,8.3345,3290.0,4832.0,87.0,3361.0,4954.0,88.0,-71.0,-122.0,-1.0,5295.0,7808.0,148.0,5445.0,7536.0,131.0,-150.0,272.0,17.0
22122,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,7,Red,jng,xiaohuangren,Dominus Esports Young,Elise,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,1447,1,4,0,8,17,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7049,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,6582,272.9233,0.168739,13,0.539,6,0.2488,4,40.0,1.6586,9945,6718,278.5625,0.208414,8550.0,,183.0,22.0,161,98,17,7.5881,3467.0,3876.0,66.0,2971.0,3122.0,61.0,496.0,754.0,5.0,5442.0,6550.0,108.0,4711.0,4493.0,82.0,731.0,2057.0,26.0
22123,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,8,Red,mid,Hanlan,Dominus Esports Young,Sett,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,1447,1,1,0,9,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,6764,280.4699,0.173405,10,0.4147,5,0.2073,6,24.0,0.9952,9272,6045,250.6565,0.18753399999999998,8000.0,,181.0,177.0,4,0,0,7.5052,3368.0,4886.0,85.0,3479.0,4990.0,95.0,-111.0,-104.0,-10.0,5441.0,7642.0,128.0,5222.0,7279.0,142.0,219.0,363.0,-14.0
22124,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,9,Red,bot,xubin,Dominus Esports Young,Varus,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,1447,1,7,0,7,17,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7049,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,14968,620.6496,0.383726,9,0.3732,19,0.7878,3,41.0,1.7001,12529,9302,385.7084,0.288584,10750.0,,250.0,239.0,11,8,0,10.3663,3918.0,3269.0,92.0,3035.0,2900.0,77.0,883.0,369.0,15.0,7183.0,5658.0,147.0,5430.0,4575.0,128.0,1753.0,1083.0,19.0
22125,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,10,Red,sup,Mitsuki,Dominus Esports Young,Yuumi,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,1447,1,4,0,11,17,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7049,0.7049,,,,,,,,,,,,,,,,,,,,,,,,,,7383,306.1368,0.189274,20,0.8293,1,0.0415,8,34.0,1.4098,7426,4199,174.112,0.130261,6385.0,,3.0,3.0,0,0,0,0.1244,2256.0,2909.0,0.0,2063.0,2284.0,14.0,193.0,625.0,-14.0,3922.0,4873.0,1.0,3670.0,3914.0,20.0,252.0,959.0,-19.0
22126,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,100,Blue,team,,Young Miracles,,Nocturne,Ekko,Karthus,Sylas,Rek'Sai,1447,0,0,17,0,0,17,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.7049,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,27106,1123.953,,70,2.9026,20,0.8293,30,130.0,5.3905,35304,19167,794.7616,,34195.0,-0.213311,,,130,105,0,,14909.0,18250.0,335.0,16299.0,19772.0,330.0,-1390.0,-1522.0,5.0,24478.0,27797.0,503.0,27283.0,32531.0,532.0,-2805.0,-4734.0,-29.0
22127,6102-7587,complete,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:14:00,1,10.06,200,Red,team,,Dominus Esports Young,,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,1447,1,17,0,43,17,0,1.0,0.0,0.0,0.0,1.0,,,,0.7049,0.7049,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,39007,1617.4292,,60,2.4879,34,1.4098,22,155.0,6.4271,48369,32232,1336.5031,,42360.0,0.213311,,,194,119,17,,16299.0,19772.0,330.0,14909.0,18250.0,335.0,1390.0,1522.0,-5.0,27283.0,32531.0,532.0,24478.0,27797.0,503.0,2805.0,4734.0,29.0
22140,6102-7590,partial,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:59:00,2,10.06,1,Blue,top,Puzzle,Young Miracles,Sylas,Nocturne,Ekko,Varus,Elise,Karthus,2643,1,7,0,10,22,7,0.0,0.0,0.0,0.0,0.0,,,,0.4994,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,21731,493.3258,0.1949,16,0.3632,1,0.0227,2,31.0,0.7037,16232,10565,239.8411,0.21469699999999997,15650.0,,245.0,218.0,27,24,0,5.5619,,,,,,,,,,,,,,,,,,
22141,6102-7590,partial,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:59:00,2,10.06,2,Blue,jng,XiaoXuan,Young Miracles,Rek'Sai,Nocturne,Ekko,Varus,Elise,Karthus,2643,1,5,1,8,22,7,0.0,0.0,0.0,0.0,0.0,,,,0.4994,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,12898,292.8036,0.11567899999999999,21,0.4767,10,0.227,20,68.0,1.5437,14417,8750,198.6379,0.177812,14075.0,,187.0,18.0,169,88,9,4.2452,,,,,,,,,,,,,,,,,,
22142,6102-7590,partial,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:59:00,2,10.06,3,Blue,mid,badboy,Young Miracles,Zoe,Nocturne,Ekko,Varus,Elise,Karthus,2643,1,5,1,12,22,7,0.0,0.0,0.0,0.0,0.0,,,,0.4994,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,32565,739.2736,0.292068,12,0.2724,7,0.1589,5,37.0,0.84,15782,10115,229.6254,0.20555199999999998,14450.0,,261.0,236.0,25,24,1,5.9251,,,,,,,,,,,,,,,,,,
22143,6102-7590,partial,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:59:00,2,10.06,4,Blue,bot,xing,Young Miracles,Aphelios,Nocturne,Ekko,Varus,Elise,Karthus,2643,1,5,2,11,22,7,1.0,1.0,0.0,0.0,0.0,,,,0.4994,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,40811,926.4699,0.36602399999999996,19,0.4313,23,0.5221,5,74.0,1.6799,21113,15446,350.647,0.313889,19745.0,,460.0,394.0,66,49,11,10.4427,,,,,,,,,,,,,,,,,,
22144,6102-7590,partial,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:59:00,2,10.06,5,Blue,sup,MaRco,Young Miracles,Taric,Nocturne,Ekko,Varus,Elise,Karthus,2643,1,0,3,15,22,7,0.0,0.0,0.0,0.0,0.0,,,,0.4994,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,3493,79.2963,0.0313279,64,1.4529,6,0.1362,14,110.0,2.4972,10000,4333,98.3655,0.08804939999999999,8900.0,,27.0,27.0,0,0,0,0.6129,,,,,,,,,,,,,,,,,,
22145,6102-7590,partial,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:59:00,2,10.06,6,Red,top,melody,Dominus Esports Young,Sett,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,2643,0,1,9,2,7,22,0.0,0.0,0.0,0.0,0.0,,,,0.1589,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,11739,266.4926,0.131254,7,0.1589,8,0.1816,0,28.0,0.6356,14278,8611,195.4824,0.215664,13030.0,,293.0,254.0,39,22,6,6.6515,,,,,,,,,,,,,,,,,,
22146,6102-7590,partial,https://lpl.qq.com/es/stats.shtml?bmid=6102,LDL,2020,Spring,0,2020-04-14 09:59:00,2,10.06,7,Red,jng,xiaohuangren,Dominus Esports Young,Lee Sin,Wukong,Kalista,LeBlanc,Aatrox,Gangplank,2643,0,1,3,4,7,22,0.0,0.0,0.0,0.0,0.0,,,,0.1589,0.6583,,,,,,,,,,,,,,,,,,,,,,,,,,6376,144.7446,0.0712904,27,0.6129,8,0.1816,13,48.0,1.0897,11996,6329,143.6776,0.15850899999999998,12010.0,,200.0,62.0,138,92,18,4.5403,,,,,,,,,,,,,,,,,,
