,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2328,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,1,Blue,top,Wizer,hyFresh Blade,Mordekaiser,Elise,Pantheon,Rumble,Cassiopeia,Ryze,2427,1,2,2,7,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13044,322.4722,0.193167,21,0.5192,7,0.1731,6,33.0,0.8158,15593,10366,256.267,0.235093,13750.0,,320.0,292.0,28,13,0,7.911,3077.0,4751.0,79.0,3166.0,4706.0,78.0,-89.0,45.0,1.0,4938.0,7064.0,116.0,4851.0,6907.0,118.0,87.0,157.0,-2.0
2329,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,2,Blue,jng,Croco,hyFresh Blade,Lee Sin,Elise,Pantheon,Rumble,Cassiopeia,Ryze,2427,1,5,1,7,13,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3214,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13321,329.3201,0.197269,17,0.4203,19,0.4697,8,44.0,1.0878,14675,9448,233.5723,0.21427399999999996,13175.0,,250.0,47.0,203,136,1,6.1805,3041.0,3193.0,64.0,3263.0,3459.0,77.0,-222.0,-266.0,-13.0,5349.0,5241.0,91.0,5187.0,5595.0,121.0,162.0,-354.0,-30.0
2330,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,3,Blue,mid,FireRain,hyFresh Blade,Ornn,Elise,Pantheon,Rumble,Cassiopeia,Ryze,2427,1,2,2,10,13,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3214,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14776,365.2905,0.21881599999999998,21,0.5192,20,0.4944,6,54.0,1.335,13826,8599,212.5834,0.19502,12730.0,,288.0,284.0,4,4,0,7.1199,3343.0,5024.0,92.0,3555.0,5147.0,101.0,-212.0,-123.0,-9.0,4997.0,7482.0,134.0,5195.0,7411.0,146.0,-198.0,71.0,-12.0
2331,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,4,Blue,bot,Hollow,hyFresh Blade,Miss Fortune,Elise,Pantheon,Rumble,Cassiopeia,Ryze,2427,1,4,1,3,13,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214,0.4944,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,21253,525.4141,0.314733,15,0.3708,21,0.5192,7,48.0,1.1867,17185,11958,295.6242,0.27119699999999997,15650.0,,393.0,367.0,26,26,0,9.7157,3161.0,3126.0,80.0,3663.0,3227.0,100.0,-502.0,-101.0,-20.0,4819.0,5680.0,127.0,6308.0,5606.0,155.0,-1489.0,74.0,-28.0
2332,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,5,Blue,sup,Minit,hyFresh Blade,Braum,Elise,Pantheon,Rumble,Cassiopeia,Ryze,2427,1,0,1,11,13,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3214,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5133,126.8974,0.076014,71,1.7553,11,0.2719,20,92.0,2.2744,8949,3722,92.0148,0.0844167,7760.0,,35.0,35.0,0,0,0,0.8653,2075.0,3095.0,12.0,2144.0,3133.0,12.0,-69.0,-38.0,0.0,3304.0,4336.0,18.0,3284.0,4762.0,24.0,20.0,-426.0,-6.0
2333,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,6,Red,top,Thal,Seorabeol Gaming,Yorick,Akali,Lucian,Sett,Irelia,Kennen,2427,0,2,3,4,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15579,385.1422,0.17164100000000002,20,0.4944,6,0.1483,7,44.0,1.0878,17052,11825,292.3362,0.281947,16558.0,,388.0,317.0,71,55,8,9.5921,3166.0,4706.0,78.0,3077.0,4751.0,79.0,89.0,-45.0,-1.0,4851.0,6907.0,118.0,4938.0,7064.0,116.0,-87.0,-157.0,2.0
2334,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,7,Red,jng,KaKAO,Seorabeol Gaming,Jarvan IV,Akali,Lucian,Sett,Irelia,Kennen,2427,0,1,4,4,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1731,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5383,133.0779,0.059307000000000006,54,1.335,33,0.8158,12,127.0,3.1397,11061,5834,144.2274,0.139106,10000.0,,206.0,50.0,156,115,0,5.0927,3263.0,3459.0,77.0,3041.0,3193.0,64.0,222.0,266.0,13.0,5187.0,5595.0,121.0,5349.0,5241.0,91.0,-162.0,354.0,30.0
2335,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,8,Red,mid,Danchung,Seorabeol Gaming,Orianna,Akali,Lucian,Sett,Irelia,Kennen,2427,0,0,2,7,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22534,557.0828,0.248268,17,0.4203,3,0.0742,6,32.0,0.7911,12702,7475,184.796,0.178232,11700.0,,294.0,266.0,28,23,0,7.2682,3555.0,5147.0,101.0,3343.0,5024.0,92.0,212.0,123.0,9.0,5195.0,7411.0,146.0,4997.0,7482.0,134.0,198.0,-71.0,12.0
2336,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,9,Red,bot,Sangyoon,Seorabeol Gaming,Aphelios,Akali,Lucian,Sett,Irelia,Kennen,2427,0,3,1,1,7,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,39243,970.1607,0.432358,14,0.3461,19,0.4697,3,68.0,1.6811,18748,13521,334.2645,0.322384,18475.0,,451.0,397.0,54,46,0,11.1496,3663.0,3227.0,100.0,3161.0,3126.0,80.0,502.0,101.0,20.0,6308.0,5606.0,155.0,4819.0,5680.0,127.0,1489.0,-74.0,28.0
2337,ESPORTSTMNT04/1130488,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130488?gameHash=411522a3de69bb79,CK,2020,Spring,0,2020-02-06 05:12:31,1,10.02,10,Red,sup,Nova,Seorabeol Gaming,Tahm Kench,Akali,Lucian,Sett,Irelia,Kennen,2427,0,1,3,4,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731,0.4944,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8026,198.4178,0.0884262,74,1.8294,10,0.2472,23,114.0,2.8183,8512,3285,81.2114,0.0783308,8045.0,,30.0,30.0,0,0,0,0.7417,2144.0,3133.0,12.0,2075.0,3095.0,12.0,69.0,38.0,0.0,3284.0,4762.0,24.0,3304.0,4336.0,18.0,-20.0,426.0,6.0
