,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1944,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,1,Blue,top,pr1me,Dark Passage Academy,Aatrox,Elise,Nautilus,Jarvan IV,Sett,Mordekaiser,2257,0,3,2,4,9,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2393,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8757,232.7957,0.199535,11,0.2924,2,0.0532,1,18.0,0.4785,12345,7465,198.4493,0.214517,12475.0,,240.0,207.0,33,25,0,6.3802,3280.0,4442.0,53.0,3625.0,4555.0,91.0,-345.0,-113.0,-38.0,4822.0,6740.0,102.0,6943.0,7737.0,154.0,-2121.0,-997.0,-52.0
1945,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,2,Blue,jng,Oguzkhan,Dark Passage Academy,Gragas,Elise,Nautilus,Jarvan IV,Sett,Mordekaiser,2257,0,1,3,7,9,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2393,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10962,291.4134,0.24977800000000003,35,0.9304,14,0.3722,16,68.0,1.8077,10063,5183,137.7847,0.14894200000000002,10050.0,,167.0,32.0,135,111,0,4.4395,3045.0,2973.0,51.0,2885.0,2765.0,49.0,160.0,208.0,2.0,4502.0,5130.0,81.0,4001.0,3675.0,69.0,501.0,1455.0,12.0
1946,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,3,Blue,mid,Maximillion,Dark Passage Academy,Yasuo,Elise,Nautilus,Jarvan IV,Sett,Mordekaiser,2257,0,4,3,2,9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2393,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8409,223.5445,0.191606,23,0.6114,15,0.3988,10,52.0,1.3824,16037,11157,296.5973,0.32061100000000003,16700.0,,352.0,336.0,16,12,1,9.3576,3282.0,4892.0,90.0,3380.0,5042.0,93.0,-98.0,-150.0,-3.0,5433.0,7147.0,128.0,5002.0,7383.0,132.0,431.0,-236.0,-4.0
1947,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,4,Blue,bot,Wasteee,Dark Passage Academy,Aphelios,Elise,Nautilus,Jarvan IV,Sett,Mordekaiser,2257,0,1,3,3,9,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2393,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12672,336.872,0.288742,11,0.2924,18,0.4785,2,53.0,1.4089,13514,8634,229.5259,0.24811,13700.0,,316.0,298.0,18,16,2,8.4005,3126.0,2818.0,75.0,2972.0,2811.0,71.0,154.0,7.0,4.0,4780.0,4511.0,117.0,4777.0,4907.0,125.0,3.0,-396.0,-8.0
1948,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,5,Blue,sup,tade,Dark Passage Academy,Leona,Elise,Nautilus,Jarvan IV,Sett,Mordekaiser,2257,0,0,3,2,9,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2393,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3087,82.0647,0.07033969999999999,51,1.3558,23,0.6114,18,101.0,2.685,7240,2360,62.7381,0.0678203,7150.0,,46.0,46.0,0,0,0,1.2229,2114.0,2316.0,14.0,2040.0,1988.0,12.0,74.0,328.0,2.0,3149.0,3734.0,22.0,3187.0,3277.0,21.0,-38.0,457.0,1.0
1949,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,6,Red,top,StarScreen,İstanbul Wildcats Academy,Irelia,Karthus,Camille,Akali,Fiora,Zoe,2257,1,5,3,5,14,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722,0.6114,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12304,327.0891,0.24135399999999999,18,0.4785,6,0.1595,6,52.0,1.3824,18349,13469,358.0594,0.317461,16083.0,,390.0,309.0,81,41,10,10.3677,3625.0,4555.0,91.0,3280.0,4442.0,53.0,345.0,113.0,38.0,6943.0,7737.0,154.0,4822.0,6740.0,102.0,2121.0,997.0,52.0
1950,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,7,Red,jng,Ferret,İstanbul Wildcats Academy,Rek'Sai,Karthus,Camille,Akali,Fiora,Zoe,2257,1,3,3,2,14,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6092,161.9495,0.1195,44,1.1697,26,0.6912,16,108.0,2.8711,10740,5860,155.782,0.13812,9475.0,,165.0,39.0,126,71,25,4.3864,2885.0,2765.0,49.0,3045.0,2973.0,51.0,-160.0,-208.0,-2.0,4001.0,3675.0,69.0,4502.0,5130.0,81.0,-501.0,-1455.0,-12.0
1951,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,8,Red,mid,Serin,İstanbul Wildcats Academy,Syndra,Karthus,Camille,Akali,Fiora,Zoe,2257,1,1,2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17157,456.101,0.33655,18,0.4785,11,0.2924,10,59.0,1.5685,13298,8418,223.7838,0.19841099999999998,13100.0,,288.0,258.0,30,24,0,7.6562,3380.0,5042.0,93.0,3282.0,4892.0,90.0,98.0,150.0,3.0,5002.0,7383.0,132.0,5433.0,7147.0,128.0,-431.0,236.0,4.0
1952,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,9,Red,bot,Kaori,İstanbul Wildcats Academy,Senna,Karthus,Camille,Akali,Fiora,Zoe,2257,1,5,0,5,14,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11434,303.961,0.22428800000000002,17,0.4519,6,0.1595,9,25.0,0.6646,15915,11035,293.354,0.26009299999999996,14095.0,,337.0,303.0,34,22,4,8.9588,2972.0,2811.0,71.0,3126.0,2818.0,75.0,-154.0,-7.0,-4.0,4777.0,4907.0,125.0,4780.0,4511.0,117.0,-3.0,396.0,8.0
1953,ESPORTSTMNT04/1130294,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1130294?gameHash=ecf040ad60fa9726&amp;tab=overview,TRA,2020,,0,2020-02-03 14:22:09,1,10.02,10,Red,sup,Pbd,İstanbul Wildcats Academy,Braum,Karthus,Camille,Akali,Fiora,Zoe,2257,1,0,1,11,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3722,0.6114,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3992,106.1232,0.0783068,68,1.8077,15,0.3988,19,98.0,2.6052,8525,3645,96.8985,0.08591389999999999,7425.0,,41.0,37.0,4,0,0,1.0899,2040.0,1988.0,12.0,2114.0,2316.0,14.0,-74.0,-328.0,-2.0,3187.0,3277.0,21.0,3149.0,3734.0,22.0,38.0,-457.0,-1.0
