,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
30960,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,1,Blue,top,Bin,Suning,Wukong,Ornn,Nidalee,Kalista,Olaf,Trundle,1981,0,0,3,2,5,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1514,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,12360,374.3564,0.219667,8,0.2423,9,0.2726,2,25.0,0.7572,12437,8120,245.9364,0.23633400000000002,11908.0,,295.0,278.0,17,8,4,8.9349,3487.0,4563.0,80.0,3092.0,4116.0,70.0,395.0,447.0,10.0,5508.0,7324.0,137.0,4740.0,6593.0,119.0,768.0,731.0,18.0
30961,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,2,Blue,jng,SofM,Suning,Graves,Ornn,Nidalee,Kalista,Olaf,Trundle,1981,0,2,2,3,5,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1514,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,10766,326.0777,0.191338,43,1.3024,34,1.0298,16,104.0,3.1499,11105,6788,205.5931,0.19756700000000002,11075.0,,254.0,70.0,184,122,21,7.6931,3382.0,3246.0,63.0,2770.0,2572.0,50.0,612.0,674.0,13.0,5142.0,5270.0,97.0,4400.0,4504.0,82.0,742.0,766.0,15.0
30962,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,3,Blue,mid,Angel,Suning,Twisted Fate,Ornn,Nidalee,Kalista,Olaf,Trundle,1981,0,0,4,4,5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1514,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,9511,288.0666,0.169033,14,0.424,4,0.1212,5,40.0,1.2115,12217,7900,239.2731,0.229931,11725.0,,280.0,258.0,22,12,3,8.4806,3463.0,4163.0,83.0,3581.0,4675.0,90.0,-118.0,-512.0,-7.0,5271.0,6677.0,128.0,5544.0,7394.0,141.0,-273.0,-717.0,-13.0
30963,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,4,Blue,bot,huanfeng,Suning,Aphelios,Ornn,Nidalee,Kalista,Olaf,Trundle,1981,0,2,2,1,5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1514,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,17427,527.8243,0.30972,13,0.3937,9,0.2726,4,25.0,0.7572,13089,8772,265.684,0.25531,13150.0,,336.0,292.0,44,33,4,10.1767,3561.0,3777.0,98.0,3560.0,3794.0,101.0,1.0,-17.0,-3.0,5266.0,5949.0,144.0,5259.0,5730.0,150.0,7.0,219.0,-6.0
30964,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,5,Blue,sup,SwordArt,Suning,Bard,Ornn,Nidalee,Kalista,Olaf,Trundle,1981,0,1,2,4,5,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1514,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,6203,187.8748,0.110242,61,1.8476,8,0.2423,17,87.0,2.635,7095,2778,84.1393,0.0808573,6850.0,,32.0,32.0,0,0,0,0.9692,1970.0,2325.0,9.0,2055.0,2474.0,11.0,-85.0,-149.0,-2.0,3185.0,3792.0,21.0,3160.0,4024.0,17.0,25.0,-232.0,4.0
30965,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,6,Red,top,Zoom,JD Gaming,Renekton,Varus,Syndra,Thresh,Aatrox,Nautilus,1981,1,3,3,7,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3937,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,9669,292.8521,0.163773,16,0.4846,6,0.1817,7,34.0,1.0298,14483,10166,307.9051,0.25915,12475.0,,310.0,306.0,4,1,0,9.3892,3092.0,4116.0,70.0,3487.0,4563.0,80.0,-395.0,-447.0,-10.0,4740.0,6593.0,119.0,5508.0,7324.0,137.0,-768.0,-731.0,-18.0
30966,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,7,Red,jng,Kanavi,JD Gaming,Jarvan IV,Varus,Syndra,Thresh,Aatrox,Nautilus,1981,1,2,2,7,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,5219,158.0717,0.0883992,41,1.2418,29,0.8783,10,100.0,3.0288,10659,6342,192.0848,0.161671,10950.0,,190.0,41.0,149,100,9,5.7547,2770.0,2572.0,50.0,3382.0,3246.0,63.0,-612.0,-674.0,-13.0,4400.0,4504.0,82.0,5142.0,5270.0,97.0,-742.0,-766.0,-15.0
30967,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,8,Red,mid,Yagao,JD Gaming,Zoe,Varus,Syndra,Thresh,Aatrox,Nautilus,1981,1,5,0,6,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,17282,523.4326,0.292722,17,0.5149,12,0.3635,8,42.0,1.2721,14469,10152,307.4811,0.258794,12500.0,,306.0,284.0,22,21,0,9.268,3581.0,4675.0,90.0,3463.0,4163.0,83.0,118.0,512.0,7.0,5544.0,7394.0,141.0,5271.0,6677.0,128.0,273.0,717.0,13.0
30968,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,9,Red,bot,LokeN,JD Gaming,Ezreal,Varus,Syndra,Thresh,Aatrox,Nautilus,1981,1,2,0,7,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,17504,530.1565,0.296482,12,0.3635,23,0.6966,4,45.0,1.3629,13729,9412,285.0681,0.23993,11650.0,,342.0,320.0,22,16,2,10.3584,3560.0,3794.0,101.0,3561.0,3777.0,98.0,-1.0,17.0,3.0,5259.0,5730.0,150.0,5266.0,5949.0,144.0,-7.0,-219.0,6.0
30969,6211-7844,complete,https://lpl.qq.com/es/stats.shtml?bmid=6211,LPL,2020,Summer,0,2020-06-10 10:59:00,1,10.11,10,Red,sup,LvMao,JD Gaming,Yuumi,Varus,Syndra,Thresh,Aatrox,Nautilus,1981,1,1,0,11,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937,0.5452,,,,,,,,,,,,,,,,,,,,,,,,,,9365,283.6446,0.158624,45,1.3629,2,0.0606,13,60.0,1.8173,7473,3156,95.5881,0.0804552,6225.0,,21.0,21.0,0,0,0,0.636,2055.0,2474.0,11.0,1970.0,2325.0,9.0,85.0,149.0,2.0,3160.0,4024.0,17.0,3185.0,3792.0,21.0,-25.0,232.0,-4.0
